Fra-tid;Til-tid;Rådhuset | NO2 | µg.m³
2016.05.01 00:00;2016.05.01 01:00;14.18
2016.05.01 01:00;2016.05.01 02:00;14.57
2016.05.01 02:00;2016.05.01 03:00;11.01
2016.05.01 03:00;2016.05.01 04:00;8.44
2016.05.01 04:00;2016.05.01 05:00;5.66
2016.05.01 05:00;2016.05.01 06:00;6.26
2016.05.01 06:00;2016.05.01 07:00;8.05
2016.05.01 07:00;2016.05.01 08:00;8.65
2016.05.01 08:00;2016.05.01 09:00;10.03
2016.05.01 09:00;2016.05.01 10:00;8.85
2016.05.01 10:00;2016.05.01 11:00;10.43
2016.05.01 11:00;2016.05.01 12:00;8.86
2016.05.01 12:00;2016.05.01 13:00;8.26
2016.05.01 13:00;2016.05.01 14:00;9.46
2016.05.01 14:00;2016.05.01 15:00;9.26
2016.05.01 15:00;2016.05.01 16:00;8.27
2016.05.01 16:00;2016.05.01 17:00;9.87
2016.05.01 17:00;2016.05.01 18:00;12.26
2016.05.01 18:00;2016.05.01 19:00;10.07
2016.05.01 19:00;2016.05.01 20:00;8.09
2016.05.01 20:00;2016.05.01 21:00;9.88
2016.05.01 21:00;2016.05.01 22:00;7.70
2016.05.01 22:00;2016.05.01 23:00;5.50
2016.05.01 23:00;2016.05.02 00:00;4.51
2016.05.02 00:00;2016.05.02 01:00;3.32
2016.05.02 01:00;2016.05.02 02:00;2.33
2016.05.02 02:00;2016.05.02 03:00;2.93
2016.05.02 03:00;2016.05.02 04:00;4.52
2016.05.02 04:00;2016.05.02 05:00;5.72
2016.05.02 05:00;2016.05.02 06:00;15.30
2016.05.02 06:00;2016.05.02 07:00;25.27
2016.05.02 07:00;2016.05.02 08:00;31.85
2016.05.02 08:00;2016.05.02 09:00;23.89
2016.05.02 09:00;2016.05.02 10:00;25.29
2016.05.02 10:00;2016.05.02 11:00;19.31
2016.05.02 11:00;2016.05.02 12:00;20.71
2016.05.02 12:00;2016.05.02 13:00;20.11
2016.05.02 13:00;2016.05.02 14:00;27.31
