Fra-tid;Til-tid;Rådhuset | O3 | µg.m³
2016.05.01 00:00;2016.05.01 01:00;75.70
2016.05.01 01:00;2016.05.01 02:00;75.30
2016.05.01 02:00;2016.05.01 03:00;78.71
2016.05.01 03:00;2016.05.01 04:00;80.91
2016.05.01 04:00;2016.05.01 05:00;78.51
2016.05.01 05:00;2016.05.01 06:00;78.71
2016.05.01 06:00;2016.05.01 07:00;78.51
2016.05.01 07:00;2016.05.01 08:00;78.31
2016.05.01 08:00;2016.05.01 09:00;76.91
2016.05.01 09:00;2016.05.01 10:00;79.91
2016.05.01 10:00;2016.05.01 11:00;79.51
2016.05.01 11:00;2016.05.01 12:00;80.92
2016.05.01 12:00;2016.05.01 13:00;82.52
2016.05.01 13:00;2016.05.01 14:00;80.32
2016.05.01 14:00;2016.05.01 15:00;82.52
2016.05.01 15:00;2016.05.01 16:00;86.12
2016.05.01 16:00;2016.05.01 17:00;79.72
2016.05.01 17:00;2016.05.01 18:00;76.32
2016.05.01 18:00;2016.05.01 19:00;77.92
2016.05.01 19:00;2016.05.01 20:00;81.53
2016.05.01 20:00;2016.05.01 21:00;79.53
2016.05.01 21:00;2016.05.01 22:00;80.73
2016.05.01 22:00;2016.05.01 23:00;81.93
2016.05.01 23:00;2016.05.02 00:00;82.73
2016.05.02 00:00;2016.05.02 01:00;82.53
2016.05.02 01:00;2016.05.02 02:00;82.93
2016.05.02 02:00;2016.05.02 03:00;83.73
2016.05.02 03:00;2016.05.02 04:00;81.53
2016.05.02 04:00;2016.05.02 05:00;80.14
2016.05.02 05:00;2016.05.02 06:00;70.94
2016.05.02 06:00;2016.05.02 07:00;62.14
2016.05.02 07:00;2016.05.02 08:00;55.94
2016.05.02 08:00;2016.05.02 09:00;60.14
2016.05.02 09:00;2016.05.02 10:00;57.14
2016.05.02 10:00;2016.05.02 11:00;64.14
2016.05.02 11:00;2016.05.02 12:00;62.74
2016.05.02 12:00;2016.05.02 13:00;63.75
2016.05.02 13:00;2016.05.02 14:00;56.55
2016.05.02 14:00;2016.05.02 15:00;62.15
2016.05.02 15:00;2016.05.02 16:00;63.35
2016.05.02 16:00;2016.05.02 17:00;60.95
2016.05.02 17:00;2016.05.02 18:00;71.95
2016.05.02 18:00;2016.05.02 19:00;69.95
2016.05.02 19:00;2016.05.02 20:00;73.55
2016.05.02 20:00;2016.05.02 21:00;73.55
2016.05.02 21:00;2016.05.02 22:00;70.96
2016.05.02 22:00;2016.05.02 23:00;69.16
2016.05.02 23:00;2016.05.03 00:00;67.16
2016.05.03 00:00;2016.05.03 01:00;69.96
2016.05.03 01:00;2016.05.03 02:00;69.56
2016.05.03 02:00;2016.05.03 03:00;69.36
