Fra-tid;Til-tid;Rådhuset | PM10 | µg.m³
5.1.2016 0:00;5.1.2016 1:00;8.36
5.1.2016 1:00;5.1.2016 2:00;7.7
5.1.2016 2:00;5.1.2016 3:00;5.61
5.1.2016 3:00;5.1.2016 4:00;4.51
5.1.2016 4:00;5.1.2016 5:00;5.06
5.1.2016 5:00;5.1.2016 6:00;5.5
5.1.2016 6:00;5.1.2016 7:00;5.28
5.1.2016 7:00;5.1.2016 8:00;8.14
5.1.2016 8:00;5.1.2016 9:00;5.28
5.1.2016 9:00;5.1.2016 10:00;4.07
5.1.2016 10:00;5.1.2016 11:00;6.16
5.1.2016 11:00;5.1.2016 12:00;7.48
5.1.2016 12:00;5.1.2016 13:00;11.22
5.1.2016 13:00;5.1.2016 14:00;9.79
5.1.2016 14:00;5.1.2016 15:00;12.98
5.1.2016 15:00;5.1.2016 16:00;17.27
5.1.2016 16:00;5.1.2016 17:00;12.32
5.1.2016 17:00;5.1.2016 18:00;8.91
5.1.2016 18:00;5.1.2016 19:00;11.11
5.1.2016 19:00;5.1.2016 20:00;9.57
5.1.2016 20:00;5.1.2016 21:00;12.54
5.1.2016 21:00;5.1.2016 22:00;10.12
5.1.2016 22:00;5.1.2016 23:00;6.38
5.1.2016 23:00;5.2.2016 0:00;7.26
5.2.2016 0:00;5.2.2016 1:00;5.17
5.2.2016 1:00;5.2.2016 2:00;6.05
5.2.2016 2:00;5.2.2016 3:00;6.82
5.2.2016 3:00;5.2.2016 4:00;6.82
5.2.2016 4:00;5.2.2016 5:00;5.06
5.2.2016 5:00;5.2.2016 6:00;5.06
5.2.2016 6:00;5.2.2016 7:00;4.84
5.2.2016 7:00;5.2.2016 8:00;6.93
5.2.2016 8:00;5.2.2016 9:00;5.83
5.2.2016 9:00;5.2.2016 10:00;10.34
5.2.2016 10:00;5.2.2016 11:00;6.16
5.2.2016 11:00;5.2.2016 12:00;25.08
5.2.2016 12:00;5.2.2016 13:00;15.84
5.2.2016 13:00;5.2.2016 14:00;6.82
5.2.2016 14:00;5.2.2016 15:00;5.06
5.2.2016 15:00;5.2.2016 16:00;7.04
5.2.2016 16:00;5.2.2016 17:00;3.96
5.2.2016 17:00;5.2.2016 18:00;3.3
5.2.2016 18:00;5.2.2016 19:00;5.28
5.2.2016 19:00;5.2.2016 20:00;5.17
5.2.2016 20:00;5.2.2016 21:00;5.39
5.2.2016 21:00;5.2.2016 22:00;6.16
5.2.2016 22:00;5.2.2016 23:00;5.72
5.2.2016 23:00;5.3.2016 0:00;4.84
5.3.2016 0:00;5.3.2016 1:00;3.85
5.3.2016 1:00;5.3.2016 2:00;3.96
5.3.2016 2:00;5.3.2016 3:00;4.29
5.3.2016 3:00;5.3.2016 4:00;4.07
5.3.2016 4:00;5.3.2016 5:00;5.39
5.3.2016 5:00;5.3.2016 6:00;8.03
5.3.2016 6:00;5.3.2016 7:00;8.25
5.3.2016 7:00;5.3.2016 8:00;8.03
5.3.2016 8:00;5.3.2016 9:00;11.33
5.3.2016 9:00;5.3.2016 10:00;20.02
5.3.2016 10:00;5.3.2016 11:00;18.7
5.3.2016 11:00;5.3.2016 12:00;14.52
5.3.2016 12:00;5.3.2016 13:00;14.74
5.3.2016 13:00;5.3.2016 14:00;13.09
5.3.2016 14:00;5.3.2016 15:00;17.6
5.3.2016 15:00;5.3.2016 16:00;15.4
5.3.2016 16:00;5.3.2016 17:00;17.49
5.3.2016 17:00;5.3.2016 18:00;16.28
5.3.2016 18:00;5.3.2016 19:00;17.27
5.3.2016 19:00;5.3.2016 20:00;16.17
5.3.2016 20:00;5.3.2016 21:00;18.7
5.3.2016 21:00;5.3.2016 22:00;18.37
5.3.2016 22:00;5.3.2016 23:00;18.04
5.3.2016 23:00;5.4.2016 0:00;20.9
5.4.2016 0:00;5.4.2016 1:00;19.91
5.4.2016 1:00;5.4.2016 2:00;19.25
5.4.2016 2:00;5.4.2016 3:00;19.25
5.4.2016 3:00;5.4.2016 4:00;21.12
5.4.2016 4:00;5.4.2016 5:00;18.15
5.4.2016 5:00;5.4.2016 6:00;17.16
5.4.2016 6:00;5.4.2016 7:00;16.17
5.4.2016 7:00;5.4.2016 8:00;27.28
5.4.2016 8:00;5.4.2016 9:00;39.71
5.4.2016 9:00;5.4.2016 10:00;30.14
5.4.2016 10:00;5.4.2016 11:00;18.15
5.4.2016 11:00;5.4.2016 12:00;38.17
5.4.2016 12:00;5.4.2016 13:00;32.56
5.4.2016 13:00;5.4.2016 14:00;26.29
5.4.2016 14:00;5.4.2016 15:00;21.67
5.4.2016 15:00;5.4.2016 16:00;15.51
5.4.2016 16:00;5.4.2016 17:00;17.49
5.4.2016 17:00;5.4.2016 18:00;12.98
5.4.2016 18:00;5.4.2016 19:00;12.65
5.4.2016 19:00;5.4.2016 20:00;16.06
5.4.2016 20:00;5.4.2016 21:00;18.48
5.4.2016 21:00;5.4.2016 22:00;19.8
5.4.2016 22:00;5.4.2016 23:00;10.56
5.4.2016 23:00;5.5.2016 0:00;9.46
5.5.2016 0:00;5.5.2016 1:00;8.91
5.5.2016 1:00;5.5.2016 2:00;10.45
5.5.2016 2:00;5.5.2016 3:00;13.42
5.5.2016 3:00;5.5.2016 4:00;13.09
5.5.2016 4:00;5.5.2016 5:00;20.02
5.5.2016 5:00;5.5.2016 6:00;16.39
5.5.2016 6:00;5.5.2016 7:00;15.29
5.5.2016 7:00;5.5.2016 8:00;17.27
5.5.2016 8:00;5.5.2016 9:00;17.49
5.5.2016 9:00;5.5.2016 10:00;17.71
5.5.2016 10:00;5.5.2016 11:00;20.13
5.5.2016 11:00;5.5.2016 12:00;25.3
5.5.2016 12:00;5.5.2016 13:00;25.08
5.5.2016 13:00;5.5.2016 14:00;23.65
5.5.2016 14:00;5.5.2016 15:00;21.23
5.5.2016 15:00;5.5.2016 16:00;25.96
5.5.2016 16:00;5.5.2016 17:00;27.5
5.5.2016 17:00;5.5.2016 18:00;29.7
5.5.2016 18:00;5.5.2016 19:00;22.66
