Fra-tid;Til-tid;Danmarksplass | NO2 | µg.m³
2016.01.01 00:00;2016.01.01 01:00;4.30
2016.01.01 01:00;2016.01.01 02:00;2.76
2016.01.01 02:00;2016.01.01 03:00;2.10
2016.01.01 03:00;2016.01.01 04:00;1.65
2016.01.01 04:00;2016.01.01 05:00;3.19
2016.01.01 05:00;2016.01.01 06:00;1.86
2016.01.01 06:00;2016.01.01 07:00;2.96
2016.01.01 07:00;2016.01.01 08:00;5.63
2016.01.01 08:00;2016.01.01 09:00;5.37
2016.01.01 09:00;2016.01.01 10:00;6.03
2016.01.01 10:00;2016.01.01 11:00;27.85
2016.01.01 11:00;2016.01.01 12:00;37.61
2016.01.01 12:00;2016.01.01 13:00;36.31
2016.01.01 13:00;2016.01.01 14:00;68.63
2016.01.01 14:00;2016.01.01 15:00;85.47
2016.01.01 15:00;2016.01.01 16:00;97.17
2016.01.01 16:00;2016.01.01 17:00;99.38
2016.01.01 17:00;2016.01.01 18:00;101.85
2016.01.01 18:00;2016.01.01 19:00;87.49
2016.01.01 19:00;2016.01.01 20:00;78.84
2016.01.01 20:00;2016.01.01 21:00;78.84
2016.01.01 21:00;2016.01.01 22:00;76.67
2016.01.01 22:00;2016.01.01 23:00;72.29
2016.01.01 23:00;2016.01.02 00:00;61.46
2016.01.02 00:00;2016.01.02 01:00;58.58
2016.01.02 01:00;2016.01.02 02:00;46.71
2016.01.02 02:00;2016.01.02 03:00;40.95
2016.01.02 03:00;2016.01.02 04:00;41.61
2016.01.02 04:00;2016.01.02 05:00;47.54
2016.01.02 05:00;2016.01.02 06:00;58.14
2016.01.02 06:00;2016.01.02 07:00;65.54
2016.01.02 07:00;2016.01.02 08:00;65.31
2016.01.02 08:00;2016.01.02 09:00;69.02
2016.01.02 09:00;2016.01.02 10:00;66.68
2016.01.02 10:00;2016.01.02 11:00;80.42
2016.01.02 11:00;2016.01.02 12:00;86.23
2016.01.02 12:00;2016.01.02 13:00;87.52
2016.01.02 13:00;2016.01.02 14:00;122.69
2016.01.02 14:00;2016.01.02 15:00;78.30
2016.01.02 15:00;2016.01.02 16:00;30.84
2016.01.02 16:00;2016.01.02 17:00;27.75
2016.01.02 17:00;2016.01.02 18:00;19.71
2016.01.02 18:00;2016.01.02 19:00;28.43
2016.01.02 19:00;2016.01.02 20:00;23.25
2016.01.02 20:00;2016.01.02 21:00;18.39
2016.01.02 21:00;2016.01.02 22:00;9.24
2016.01.02 22:00;2016.01.02 23:00;9.45
2016.01.02 23:00;2016.01.03 00:00;13.01
2016.01.03 00:00;2016.01.03 01:00;20.57
2016.01.03 01:00;2016.01.03 02:00;19.87
2016.01.03 02:00;2016.01.03 03:00;31.73
2016.01.03 03:00;2016.01.03 04:00;24.80
2016.01.03 04:00;2016.01.03 05:00;30.28
2016.01.03 05:00;2016.01.03 06:00;26.33
2016.01.03 06:00;2016.01.03 07:00;35.71
2016.01.03 07:00;2016.01.03 08:00;49.73
2016.01.03 08:00;2016.01.03 09:00;40.82
2016.01.03 09:00;2016.01.03 10:00;50.25
2016.01.03 10:00;2016.01.03 11:00;52.34
2016.01.03 11:00;2016.01.03 12:00;50.13
2016.01.03 12:00;2016.01.03 13:00;66.30
2016.01.03 13:00;2016.01.03 14:00;82.44
2016.01.03 14:00;2016.01.03 15:00;99.41
2016.01.03 15:00;2016.01.03 16:00;63.03
2016.01.03 16:00;2016.01.03 17:00;94.68
2016.01.03 17:00;2016.01.03 18:00;111.82
2016.01.03 18:00;2016.01.03 19:00;97.81
2016.01.03 19:00;2016.01.03 20:00;90.73
2016.01.03 20:00;2016.01.03 21:00;95.88
2016.01.03 21:00;2016.01.03 22:00;83.03
2016.01.03 22:00;2016.01.03 23:00;77.00
2016.01.03 23:00;2016.01.04 00:00;67.06
2016.01.04 00:00;2016.01.04 01:00;63.14
2016.01.04 01:00;2016.01.04 02:00;53.26
2016.01.04 02:00;2016.01.04 03:00;46.28
2016.01.04 03:00;2016.01.04 04:00;46.87
2016.01.04 04:00;2016.01.04 05:00;51.74
2016.01.04 05:00;2016.01.04 06:00;58.25
2016.01.04 06:00;2016.01.04 07:00;113.16
2016.01.04 07:00;2016.01.04 08:00;134.48
2016.01.04 08:00;2016.01.04 09:00;167.96
2016.01.04 09:00;2016.01.04 10:00;188.52
2016.01.04 10:00;2016.01.04 11:00;172.98
2016.01.04 11:00;2016.01.04 12:00;122.51
2016.01.04 12:00;2016.01.04 13:00;106.95
2016.01.04 13:00;2016.01.04 14:00;151.86
2016.01.04 14:00;2016.01.04 15:00;140.86
2016.01.04 15:00;2016.01.04 16:00;163.27
2016.01.04 16:00;2016.01.04 17:00;157.60
2016.01.04 17:00;2016.01.04 18:00;150.26
2016.01.04 18:00;2016.01.04 19:00;137.22
2016.01.04 19:00;2016.01.04 20:00;129.97
2016.01.04 20:00;2016.01.04 21:00;99.04
2016.01.04 21:00;2016.01.04 22:00;97.17
2016.01.04 22:00;2016.01.04 23:00;89.06
2016.01.04 23:00;2016.01.05 00:00;82.27
2016.01.05 00:00;2016.01.05 01:00;65.66
2016.01.05 01:00;2016.01.05 02:00;56.85
2016.01.05 02:00;2016.01.05 03:00;51.46
2016.01.05 03:00;2016.01.05 04:00;47.44
2016.01.05 04:00;2016.01.05 05:00;44.60
2016.01.05 05:00;2016.01.05 06:00;59.00
2016.01.05 06:00;2016.01.05 07:00;119.61
2016.01.05 07:00;2016.01.05 08:00;192.44
2016.01.05 08:00;2016.01.05 09:00;188.91
2016.01.05 09:00;2016.01.05 10:00;187.89
2016.01.05 10:00;2016.01.05 11:00;170.18
2016.01.05 11:00;2016.01.05 12:00;139.76
2016.01.05 12:00;2016.01.05 13:00;133.60
2016.01.05 13:00;2016.01.05 14:00;99.62
2016.01.05 15:00;2016.01.05 16:00;153.36
2016.01.05 16:00;2016.01.05 17:00;159.27
2016.01.05 17:00;2016.01.05 18:00;138.99
2016.01.05 18:00;2016.01.05 19:00;125.72
2016.01.05 19:00;2016.01.05 20:00;128.58
2016.01.05 20:00;2016.01.05 21:00;115.69
2016.01.05 21:00;2016.01.05 22:00;98.40
2016.01.05 22:00;2016.01.05 23:00;93.26
2016.01.05 23:00;2016.01.06 00:00;83.27
2016.01.06 00:00;2016.01.06 01:00;63.51
2016.01.06 01:00;2016.01.06 02:00;54.56
2016.01.06 02:00;2016.01.06 03:00;49.49
2016.01.06 03:00;2016.01.06 04:00;49.18
2016.01.06 04:00;2016.01.06 05:00;42.72
2016.01.06 05:00;2016.01.06 06:00;58.03
2016.01.06 06:00;2016.01.06 07:00;105.40
2016.01.06 07:00;2016.01.06 08:00;194.15
2016.01.06 08:00;2016.01.06 09:00;232.74
2016.01.06 09:00;2016.01.06 10:00;162.95
2016.01.06 10:00;2016.01.06 11:00;130.99
2016.01.06 11:00;2016.01.06 12:00;121.49
2016.01.06 12:00;2016.01.06 13:00;95.36
2016.01.06 13:00;2016.01.06 14:00;68.33
2016.01.06 14:00;2016.01.06 15:00;65.21
2016.01.06 15:00;2016.01.06 16:00;81.97
2016.01.06 16:00;2016.01.06 17:00;105.55
2016.01.06 17:00;2016.01.06 18:00;111.42
2016.01.06 18:00;2016.01.06 19:00;108.98
2016.01.06 19:00;2016.01.06 20:00;121.32
2016.01.06 20:00;2016.01.06 21:00;111.12
2016.01.06 21:00;2016.01.06 22:00;110.37
2016.01.06 22:00;2016.01.06 23:00;94.71
2016.01.06 23:00;2016.01.07 00:00;83.70
2016.01.07 00:00;2016.01.07 01:00;72.99
2016.01.07 01:00;2016.01.07 02:00;58.61
2016.01.07 02:00;2016.01.07 03:00;52.97
2016.01.07 03:00;2016.01.07 04:00;45.32
2016.01.07 04:00;2016.01.07 05:00;51.43
2016.01.07 05:00;2016.01.07 06:00;56.66
2016.01.07 06:00;2016.01.07 07:00;104.93
2016.01.07 07:00;2016.01.07 08:00;197.96
2016.01.07 08:00;2016.01.07 09:00;221.77
2016.01.07 09:00;2016.01.07 10:00;214.44
2016.01.07 10:00;2016.01.07 11:00;197.49
2016.01.07 11:00;2016.01.07 12:00;138.86
2016.01.07 12:00;2016.01.07 13:00;145.13
2016.01.07 13:00;2016.01.07 14:00;165.80
2016.01.07 14:00;2016.01.07 15:00;145.97
2016.01.07 15:00;2016.01.07 16:00;137.13
2016.01.07 16:00;2016.01.07 17:00;154.26
2016.01.07 17:00;2016.01.07 18:00;145.95
2016.01.07 18:00;2016.01.07 19:00;156.42
2016.01.07 19:00;2016.01.07 20:00;123.65
2016.01.07 20:00;2016.01.07 21:00;111.94
2016.01.07 21:00;2016.01.07 22:00;110.26
2016.01.07 22:00;2016.01.07 23:00;102.62
2016.01.07 23:00;2016.01.08 00:00;92.13
2016.01.08 00:00;2016.01.08 01:00;77.84
2016.01.08 01:00;2016.01.08 02:00;66.31
2016.01.08 02:00;2016.01.08 03:00;58.57
2016.01.08 03:00;2016.01.08 04:00;54.69
2016.01.08 04:00;2016.01.08 05:00;51.33
2016.01.08 05:00;2016.01.08 06:00;60.35
2016.01.08 06:00;2016.01.08 07:00;101.30
2016.01.08 07:00;2016.01.08 08:00;183.27
2016.01.08 08:00;2016.01.08 09:00;216.65
2016.01.08 09:00;2016.01.08 10:00;208.23
2016.01.08 10:00;2016.01.08 11:00;207.44
2016.01.08 11:00;2016.01.08 12:00;195.78
2016.01.08 12:00;2016.01.08 13:00;192.37
2016.01.08 13:00;2016.01.08 14:00;186.09
2016.01.08 14:00;2016.01.08 15:00;183.06
2016.01.08 15:00;2016.01.08 16:00;189.16
2016.01.08 16:00;2016.01.08 17:00;177.03
2016.01.08 17:00;2016.01.08 18:00;155.33
2016.01.08 18:00;2016.01.08 19:00;145.88
2016.01.08 19:00;2016.01.08 20:00;133.78
2016.01.08 20:00;2016.01.08 21:00;108.13
2016.01.08 21:00;2016.01.08 22:00;106.79
2016.01.08 22:00;2016.01.08 23:00;98.61
2016.01.08 23:00;2016.01.09 00:00;90.94
2016.01.09 00:00;2016.01.09 01:00;81.07
2016.01.09 01:00;2016.01.09 02:00;68.06
2016.01.09 02:00;2016.01.09 03:00;59.77
2016.01.09 03:00;2016.01.09 04:00;54.64
2016.01.09 04:00;2016.01.09 05:00;52.03
2016.01.09 05:00;2016.01.09 06:00;51.40
2016.01.09 06:00;2016.01.09 07:00;67.33
2016.01.09 07:00;2016.01.09 08:00;61.29
2016.01.09 08:00;2016.01.09 09:00;75.64
2016.01.09 09:00;2016.01.09 10:00;81.16
2016.01.09 10:00;2016.01.09 11:00;106.76
2016.01.09 11:00;2016.01.09 12:00;107.19
2016.01.09 12:00;2016.01.09 13:00;112.07
2016.01.09 13:00;2016.01.09 14:00;125.29
2016.01.09 14:00;2016.01.09 15:00;131.10
2016.01.09 15:00;2016.01.09 16:00;124.60
2016.01.09 16:00;2016.01.09 17:00;124.19
2016.01.09 17:00;2016.01.09 18:00;118.53
2016.01.09 18:00;2016.01.09 19:00;97.44
2016.01.09 19:00;2016.01.09 20:00;95.21
2016.01.09 20:00;2016.01.09 21:00;63.46
2016.01.09 21:00;2016.01.09 22:00;36.75
2016.01.09 22:00;2016.01.09 23:00;64.77
2016.01.09 23:00;2016.01.10 00:00;66.04
2016.01.10 00:00;2016.01.10 01:00;61.13
2016.01.10 01:00;2016.01.10 02:00;61.46
2016.01.10 02:00;2016.01.10 03:00;53.82
2016.01.10 03:00;2016.01.10 04:00;44.26
2016.01.10 04:00;2016.01.10 05:00;8.71
2016.01.10 05:00;2016.01.10 06:00;18.68
2016.01.10 06:00;2016.01.10 07:00;29.49
2016.01.10 07:00;2016.01.10 08:00;14.69
2016.01.10 08:00;2016.01.10 09:00;17.42
2016.01.10 09:00;2016.01.10 10:00;23.35
2016.01.10 10:00;2016.01.10 11:00;23.48
2016.01.10 11:00;2016.01.10 12:00;15.40
2016.01.10 12:00;2016.01.10 13:00;15.39
2016.01.10 13:00;2016.01.10 14:00;29.34
2016.01.10 14:00;2016.01.10 15:00;12.93
2016.01.10 15:00;2016.01.10 16:00;21.60
2016.01.10 16:00;2016.01.10 17:00;16.20
2016.01.10 17:00;2016.01.10 18:00;8.47
2016.01.10 18:00;2016.01.10 19:00;13.10
2016.01.10 19:00;2016.01.10 20:00;13.11
2016.01.10 20:00;2016.01.10 21:00;19.34
2016.01.10 21:00;2016.01.10 22:00;44.29
2016.01.10 22:00;2016.01.10 23:00;16.67
2016.01.10 23:00;2016.01.11 00:00;6.48
2016.01.11 00:00;2016.01.11 01:00;4.24
2016.01.11 01:00;2016.01.11 02:00;3.57
2016.01.11 02:00;2016.01.11 03:00;2.69
2016.01.11 03:00;2016.01.11 04:00;2.46
2016.01.11 04:00;2016.01.11 05:00;2.90
2016.01.11 05:00;2016.01.11 06:00;14.28
2016.01.11 06:00;2016.01.11 07:00;47.29
2016.01.11 07:00;2016.01.11 08:00;57.59
2016.01.11 08:00;2016.01.11 09:00;104.26
2016.01.11 09:00;2016.01.11 10:00;79.90
2016.01.11 10:00;2016.01.11 11:00;76.95
2016.01.11 11:00;2016.01.11 12:00;87.07
2016.01.11 12:00;2016.01.11 13:00;97.32
2016.01.11 13:00;2016.01.11 14:00;94.40
2016.01.11 14:00;2016.01.11 15:00;133.42
2016.01.11 15:00;2016.01.11 16:00;154.36
2016.01.11 16:00;2016.01.11 17:00;145.26
2016.01.11 17:00;2016.01.11 18:00;134.95
2016.01.11 18:00;2016.01.11 19:00;118.24
2016.01.11 19:00;2016.01.11 20:00;119.85
2016.01.11 20:00;2016.01.11 21:00;97.93
2016.01.11 21:00;2016.01.11 22:00;90.87
2016.01.11 22:00;2016.01.11 23:00;82.78
2016.01.11 23:00;2016.01.12 00:00;61.90
2016.01.12 00:00;2016.01.12 01:00;47.60
2016.01.12 01:00;2016.01.12 02:00;43.36
2016.01.12 02:00;2016.01.12 03:00;36.66
2016.01.12 03:00;2016.01.12 04:00;34.86
2016.01.12 04:00;2016.01.12 05:00;37.47
2016.01.12 05:00;2016.01.12 06:00;52.38
2016.01.12 06:00;2016.01.12 07:00;109.94
2016.01.12 07:00;2016.01.12 08:00;188.71
2016.01.12 08:00;2016.01.12 09:00;221.53
2016.01.12 09:00;2016.01.12 10:00;217.39
2016.01.12 10:00;2016.01.12 11:00;206.72
2016.01.12 11:00;2016.01.12 12:00;160.78
2016.01.12 12:00;2016.01.12 13:00;172.94
2016.01.12 13:00;2016.01.12 14:00;148.77
2016.01.12 14:00;2016.01.12 15:00;136.54
2016.01.12 16:00;2016.01.12 17:00;161.15
2016.01.12 17:00;2016.01.12 18:00;136.04
2016.01.12 18:00;2016.01.12 19:00;125.72
2016.01.12 19:00;2016.01.12 20:00;125.66
2016.01.12 20:00;2016.01.12 21:00;130.23
2016.01.12 21:00;2016.01.12 22:00;107.45
2016.01.12 22:00;2016.01.12 23:00;109.42
2016.01.12 23:00;2016.01.13 00:00;86.21
2016.01.13 00:00;2016.01.13 01:00;76.48
2016.01.13 01:00;2016.01.13 02:00;64.63
2016.01.13 02:00;2016.01.13 03:00;53.62
2016.01.13 03:00;2016.01.13 04:00;51.11
2016.01.13 04:00;2016.01.13 05:00;48.62
2016.01.13 05:00;2016.01.13 06:00;32.61
2016.01.13 06:00;2016.01.13 07:00;42.54
2016.01.13 07:00;2016.01.13 08:00;53.24
2016.01.13 08:00;2016.01.13 09:00;52.29
2016.01.13 09:00;2016.01.13 10:00;50.83
2016.01.13 10:00;2016.01.13 11:00;41.52
2016.01.13 11:00;2016.01.13 12:00;41.01
2016.01.13 12:00;2016.01.13 13:00;45.18
2016.01.13 13:00;2016.01.13 14:00;39.71
2016.01.13 14:00;2016.01.13 15:00;35.14
2016.01.13 15:00;2016.01.13 16:00;41.45
2016.01.13 16:00;2016.01.13 17:00;29.85
2016.01.13 17:00;2016.01.13 18:00;23.99
2016.01.13 18:00;2016.01.13 19:00;23.83
2016.01.13 19:00;2016.01.13 20:00;21.64
2016.01.13 20:00;2016.01.13 21:00;17.86
2016.01.13 21:00;2016.01.13 22:00;13.37
2016.01.13 22:00;2016.01.13 23:00;11.81
2016.01.13 23:00;2016.01.14 00:00;7.57
2016.01.14 00:00;2016.01.14 01:00;5.37
2016.01.14 01:00;2016.01.14 02:00;6.04
2016.01.14 02:00;2016.01.14 03:00;3.81
2016.01.14 03:00;2016.01.14 04:00;4.24
2016.01.14 04:00;2016.01.14 05:00;5.32
2016.01.14 05:00;2016.01.14 06:00;9.48
2016.01.14 06:00;2016.01.14 07:00;22.03
2016.01.14 07:00;2016.01.14 08:00;25.61
2016.01.14 08:00;2016.01.14 09:00;45.00
2016.01.14 09:00;2016.01.14 10:00;39.20
2016.01.14 10:00;2016.01.14 11:00;42.35
2016.01.14 11:00;2016.01.14 12:00;47.03
2016.01.14 12:00;2016.01.14 13:00;40.81
2016.01.14 13:00;2016.01.14 14:00;32.24
2016.01.14 14:00;2016.01.14 15:00;35.01
2016.01.14 15:00;2016.01.14 16:00;47.35
2016.01.14 16:00;2016.01.14 17:00;62.00
2016.01.14 17:00;2016.01.14 18:00;38.09
2016.01.14 18:00;2016.01.14 19:00;31.53
2016.01.14 19:00;2016.01.14 20:00;33.16
2016.01.14 20:00;2016.01.14 21:00;31.55
2016.01.14 21:00;2016.01.14 22:00;15.30
2016.01.14 22:00;2016.01.14 23:00;13.32
2016.01.14 23:00;2016.01.15 00:00;8.00
2016.01.15 00:00;2016.01.15 01:00;5.12
