Fra-tid;Til-tid;Loddefjord | NO2 | µg.m³
2016.01.01 00:00;2016.01.01 01:00;3.18
2016.01.01 01:00;2016.01.01 02:00;1.14
2016.01.01 02:00;2016.01.01 03:00;0.42
2016.01.01 03:00;2016.01.01 04:00;0.00
2016.01.01 04:00;2016.01.01 05:00;0.00
2016.01.01 05:00;2016.01.01 06:00;0.00
2016.01.01 06:00;2016.01.01 07:00;0.60
2016.01.01 07:00;2016.01.01 08:00;0.17
2016.01.01 08:00;2016.01.01 09:00;10.35
2016.01.01 09:00;2016.01.01 10:00;10.93
2016.01.01 10:00;2016.01.01 11:00;29.91
2016.01.01 11:00;2016.01.01 12:00;55.11
2016.01.01 12:00;2016.01.01 13:00;56.55
2016.01.01 13:00;2016.01.01 14:00;36.55
2016.01.01 14:00;2016.01.01 15:00;54.72
2016.01.01 15:00;2016.01.01 16:00;51.41
2016.01.01 16:00;2016.01.01 17:00;38.98
2016.01.01 17:00;2016.01.01 18:00;40.43
2016.01.01 18:00;2016.01.01 19:00;45.76
2016.01.01 19:00;2016.01.01 20:00;55.40
2016.01.01 20:00;2016.01.01 21:00;57.32
2016.01.01 21:00;2016.01.01 22:00;56.80
2016.01.01 22:00;2016.01.01 23:00;53.15
2016.01.01 23:00;2016.01.02 00:00;50.51
2016.01.02 00:00;2016.01.02 01:00;47.38
2016.01.02 01:00;2016.01.02 02:00;40.70
2016.01.02 02:00;2016.01.02 03:00;34.68
2016.01.02 03:00;2016.01.02 04:00;30.83
2016.01.02 04:00;2016.01.02 05:00;27.75
2016.01.02 05:00;2016.01.02 06:00;30.81
2016.01.02 06:00;2016.01.02 07:00;30.55
2016.01.02 07:00;2016.01.02 08:00;37.66
2016.01.02 08:00;2016.01.02 09:00;47.35
2016.01.02 09:00;2016.01.02 10:00;43.53
2016.01.02 10:00;2016.01.02 11:00;54.12
2016.01.02 11:00;2016.01.02 12:00;52.40
2016.01.02 12:00;2016.01.02 13:00;66.62
2016.01.02 13:00;2016.01.02 14:00;56.49
2016.01.02 14:00;2016.01.02 15:00;64.68
2016.01.02 15:00;2016.01.02 16:00;66.29
2016.01.02 16:00;2016.01.02 17:00;44.40
2016.01.02 17:00;2016.01.02 18:00;57.07
2016.01.02 18:00;2016.01.02 19:00;68.73
2016.01.02 19:00;2016.01.02 20:00;65.00
2016.01.02 20:00;2016.01.02 21:00;51.06
2016.01.02 21:00;2016.01.02 22:00;31.20
2016.01.02 22:00;2016.01.02 23:00;49.72
2016.01.02 23:00;2016.01.03 00:00;53.48
2016.01.03 00:00;2016.01.03 01:00;53.72
2016.01.03 01:00;2016.01.03 02:00;49.46
2016.01.03 02:00;2016.01.03 03:00;51.23
2016.01.03 03:00;2016.01.03 04:00;52.06
2016.01.03 04:00;2016.01.03 05:00;41.46
2016.01.03 05:00;2016.01.03 06:00;37.18
2016.01.03 06:00;2016.01.03 07:00;32.72
2016.01.03 07:00;2016.01.03 08:00;30.94
2016.01.03 08:00;2016.01.03 09:00;45.31
2016.01.03 09:00;2016.01.03 10:00;45.55
2016.01.03 10:00;2016.01.03 11:00;47.81
2016.01.03 11:00;2016.01.03 12:00;48.95
2016.01.03 12:00;2016.01.03 13:00;51.20
2016.01.03 13:00;2016.01.03 14:00;62.48
2016.01.03 14:00;2016.01.03 15:00;64.22
2016.01.03 15:00;2016.01.03 16:00;79.12
2016.01.03 16:00;2016.01.03 17:00;76.19
2016.01.03 17:00;2016.01.03 18:00;79.48
2016.01.03 18:00;2016.01.03 19:00;78.24
2016.01.03 19:00;2016.01.03 20:00;73.68
2016.01.03 20:00;2016.01.03 21:00;73.29
2016.01.03 21:00;2016.01.03 22:00;72.19
2016.01.03 22:00;2016.01.03 23:00;60.27
2016.01.03 23:00;2016.01.04 00:00;60.20
2016.01.04 00:00;2016.01.04 01:00;51.21
2016.01.04 01:00;2016.01.04 02:00;44.18
2016.01.04 02:00;2016.01.04 03:00;32.66
2016.01.04 03:00;2016.01.04 04:00;30.60
2016.01.04 04:00;2016.01.04 05:00;28.42
2016.01.04 05:00;2016.01.04 06:00;37.56
2016.01.04 06:00;2016.01.04 07:00;61.31
2016.01.04 07:00;2016.01.04 08:00;92.36
2016.01.04 08:00;2016.01.04 09:00;100.10
2016.01.04 09:00;2016.01.04 10:00;96.85
2016.01.04 10:00;2016.01.04 11:00;106.07
2016.01.04 11:00;2016.01.04 12:00;101.58
2016.01.04 12:00;2016.01.04 13:00;91.93
2016.01.04 13:00;2016.01.04 14:00;82.72
2016.01.04 14:00;2016.01.04 15:00;82.07
2016.01.04 15:00;2016.01.04 16:00;115.67
2016.01.04 16:00;2016.01.04 17:00;111.81
2016.01.04 17:00;2016.01.04 18:00;102.42
2016.01.04 18:00;2016.01.04 19:00;100.43
2016.01.04 19:00;2016.01.04 20:00;99.92
2016.01.04 20:00;2016.01.04 21:00;91.62
2016.01.04 21:00;2016.01.04 22:00;82.93
2016.01.04 22:00;2016.01.04 23:00;77.82
2016.01.04 23:00;2016.01.05 00:00;67.35
2016.01.05 00:00;2016.01.05 01:00;59.65
2016.01.05 01:00;2016.01.05 02:00;52.75
2016.01.05 02:00;2016.01.05 03:00;49.69
2016.01.05 03:00;2016.01.05 04:00;41.36
2016.01.05 04:00;2016.01.05 05:00;37.28
2016.01.05 05:00;2016.01.05 06:00;41.48
2016.01.05 06:00;2016.01.05 07:00;67.82
2016.01.05 07:00;2016.01.05 08:00;88.00
2016.01.05 08:00;2016.01.05 09:00;102.90
2016.01.05 09:00;2016.01.05 10:00;106.21
2016.01.05 10:00;2016.01.05 11:00;106.90
2016.01.05 11:00;2016.01.05 12:00;101.81
2016.01.05 12:00;2016.01.05 13:00;99.61
2016.01.05 13:00;2016.01.05 14:00;93.66
2016.01.05 15:00;2016.01.05 16:00;100.96
2016.01.05 16:00;2016.01.05 17:00;121.06
2016.01.05 17:00;2016.01.05 18:00;115.43
2016.01.05 18:00;2016.01.05 19:00;108.29
2016.01.05 19:00;2016.01.05 20:00;98.11
2016.01.05 20:00;2016.01.05 21:00;97.98
2016.01.05 21:00;2016.01.05 22:00;86.14
2016.01.05 22:00;2016.01.05 23:00;83.15
2016.01.05 23:00;2016.01.06 00:00;81.92
2016.01.06 00:00;2016.01.06 01:00;68.38
2016.01.06 01:00;2016.01.06 02:00;55.44
2016.01.06 02:00;2016.01.06 03:00;47.38
2016.01.06 03:00;2016.01.06 04:00;43.63
2016.01.06 04:00;2016.01.06 05:00;39.65
2016.01.06 05:00;2016.01.06 06:00;42.20
2016.01.06 06:00;2016.01.06 07:00;67.24
2016.01.06 07:00;2016.01.06 08:00;94.90
2016.01.06 09:00;2016.01.06 10:00;105.06
2016.01.06 10:00;2016.01.06 11:00;96.86
2016.01.06 11:00;2016.01.06 12:00;94.24
2016.01.06 12:00;2016.01.06 13:00;84.50
2016.01.06 13:00;2016.01.06 14:00;71.14
2016.01.06 14:00;2016.01.06 15:00;65.95
2016.01.06 15:00;2016.01.06 16:00;86.79
2016.01.06 16:00;2016.01.06 17:00;90.30
2016.01.06 17:00;2016.01.06 18:00;77.92
2016.01.06 18:00;2016.01.06 19:00;71.89
2016.01.06 19:00;2016.01.06 20:00;66.36
2016.01.06 20:00;2016.01.06 21:00;73.85
2016.01.06 21:00;2016.01.06 22:00;79.33
2016.01.06 22:00;2016.01.06 23:00;71.93
2016.01.06 23:00;2016.01.07 00:00;67.63
2016.01.07 00:00;2016.01.07 01:00;57.36
2016.01.07 01:00;2016.01.07 02:00;47.44
2016.01.07 02:00;2016.01.07 03:00;42.41
2016.01.07 03:00;2016.01.07 04:00;36.18
2016.01.07 04:00;2016.01.07 05:00;33.06
2016.01.07 05:00;2016.01.07 06:00;38.62
2016.01.07 06:00;2016.01.07 07:00;54.02
2016.01.07 07:00;2016.01.07 08:00;88.60
2016.01.07 08:00;2016.01.07 09:00;91.37
2016.01.07 09:00;2016.01.07 10:00;91.55
2016.01.07 10:00;2016.01.07 11:00;100.32
2016.01.07 11:00;2016.01.07 12:00;92.92
2016.01.07 12:00;2016.01.07 13:00;94.00
2016.01.07 13:00;2016.01.07 14:00;92.54
2016.01.07 14:00;2016.01.07 15:00;97.29
2016.01.07 15:00;2016.01.07 16:00;131.89
2016.01.07 16:00;2016.01.07 17:00;118.41
2016.01.07 17:00;2016.01.07 18:00;109.80
2016.01.07 18:00;2016.01.07 19:00;108.32
2016.01.07 19:00;2016.01.07 20:00;99.26
2016.01.07 20:00;2016.01.07 21:00;102.39
2016.01.07 21:00;2016.01.07 22:00;95.41
2016.01.07 22:00;2016.01.07 23:00;88.96
2016.01.07 23:00;2016.01.08 00:00;81.13
2016.01.08 00:00;2016.01.08 01:00;64.90
2016.01.08 01:00;2016.01.08 02:00;58.70
2016.01.08 02:00;2016.01.08 03:00;53.68
2016.01.08 03:00;2016.01.08 04:00;50.18
2016.01.08 04:00;2016.01.08 05:00;45.36
2016.01.08 05:00;2016.01.08 06:00;47.53
2016.01.08 06:00;2016.01.08 07:00;69.28
2016.01.08 07:00;2016.01.08 08:00;104.73
2016.01.08 08:00;2016.01.08 09:00;113.34
2016.01.08 09:00;2016.01.08 10:00;115.54
2016.01.08 10:00;2016.01.08 11:00;105.88
2016.01.08 11:00;2016.01.08 12:00;113.60
2016.01.08 12:00;2016.01.08 13:00;116.71
2016.01.08 13:00;2016.01.08 14:00;108.22
2016.01.08 14:00;2016.01.08 15:00;116.07
2016.01.08 15:00;2016.01.08 16:00;131.68
2016.01.08 16:00;2016.01.08 17:00;129.05
2016.01.08 17:00;2016.01.08 18:00;125.91
2016.01.08 18:00;2016.01.08 19:00;119.67
2016.01.08 19:00;2016.01.08 20:00;106.78
2016.01.08 20:00;2016.01.08 21:00;94.44
2016.01.08 21:00;2016.01.08 22:00;82.66
2016.01.08 22:00;2016.01.08 23:00;80.90
2016.01.08 23:00;2016.01.09 00:00;78.46
2016.01.09 00:00;2016.01.09 01:00;64.04
2016.01.09 01:00;2016.01.09 02:00;57.31
2016.01.09 02:00;2016.01.09 03:00;53.72
2016.01.09 03:00;2016.01.09 04:00;50.20
2016.01.09 04:00;2016.01.09 05:00;47.42
2016.01.09 05:00;2016.01.09 06:00;44.96
2016.01.09 06:00;2016.01.09 07:00;43.64
2016.01.09 07:00;2016.01.09 08:00;47.79
2016.01.09 08:00;2016.01.09 09:00;51.59
2016.01.09 09:00;2016.01.09 10:00;61.89
2016.01.09 10:00;2016.01.09 11:00;66.77
2016.01.09 11:00;2016.01.09 12:00;71.57
2016.01.09 12:00;2016.01.09 13:00;88.14
2016.01.09 13:00;2016.01.09 14:00;97.33
2016.01.09 14:00;2016.01.09 15:00;94.82
2016.01.09 15:00;2016.01.09 16:00;96.02
2016.01.09 16:00;2016.01.09 17:00;100.34
2016.01.09 17:00;2016.01.09 18:00;95.48
2016.01.09 18:00;2016.01.09 19:00;99.64
2016.01.09 19:00;2016.01.09 20:00;97.38
2016.01.09 20:00;2016.01.09 21:00;81.42
2016.01.09 21:00;2016.01.09 22:00;73.13
2016.01.09 22:00;2016.01.09 23:00;69.27
2016.01.09 23:00;2016.01.10 00:00;65.52
2016.01.10 00:00;2016.01.10 01:00;62.84
2016.01.10 01:00;2016.01.10 02:00;55.29
2016.01.10 02:00;2016.01.10 03:00;54.57
2016.01.10 03:00;2016.01.10 04:00;57.59
2016.01.10 04:00;2016.01.10 05:00;48.46
2016.01.10 05:00;2016.01.10 06:00;44.24
2016.01.10 06:00;2016.01.10 07:00;43.56
2016.01.10 07:00;2016.01.10 08:00;40.45
2016.01.10 08:00;2016.01.10 09:00;36.97
2016.01.10 09:00;2016.01.10 10:00;40.20
2016.01.10 10:00;2016.01.10 11:00;39.93
2016.01.10 11:00;2016.01.10 12:00;50.26
2016.01.10 12:00;2016.01.10 13:00;59.54
2016.01.10 13:00;2016.01.10 14:00;61.22
2016.01.10 14:00;2016.01.10 15:00;37.91
2016.01.10 15:00;2016.01.10 16:00;33.40
2016.01.10 16:00;2016.01.10 17:00;29.57
2016.01.10 17:00;2016.01.10 18:00;24.09
2016.01.10 18:00;2016.01.10 19:00;21.87
2016.01.10 19:00;2016.01.10 20:00;18.49
2016.01.10 20:00;2016.01.10 21:00;13.43
2016.01.10 21:00;2016.01.10 22:00;16.94
2016.01.10 22:00;2016.01.10 23:00;13.48
2016.01.10 23:00;2016.01.11 00:00;6.75
2016.01.11 00:00;2016.01.11 01:00;2.97
2016.01.11 01:00;2016.01.11 02:00;2.73
2016.01.11 02:00;2016.01.11 03:00;0.65
2016.01.11 03:00;2016.01.11 04:00;0.09
2016.01.11 04:00;2016.01.11 05:00;0.39
2016.01.11 05:00;2016.01.11 06:00;8.14
2016.01.11 06:00;2016.01.11 07:00;34.89
2016.01.11 07:00;2016.01.11 08:00;73.06
2016.01.11 08:00;2016.01.11 09:00;68.16
2016.01.11 09:00;2016.01.11 10:00;80.52
2016.01.11 10:00;2016.01.11 11:00;86.75
2016.01.11 11:00;2016.01.11 12:00;82.87
2016.01.11 12:00;2016.01.11 13:00;86.42
2016.01.11 13:00;2016.01.11 14:00;95.89
2016.01.11 14:00;2016.01.11 15:00;95.29
2016.01.11 15:00;2016.01.11 16:00;108.06
2016.01.11 16:00;2016.01.11 17:00;109.36
2016.01.11 17:00;2016.01.11 18:00;104.59
2016.01.11 18:00;2016.01.11 19:00;93.92
2016.01.11 19:00;2016.01.11 20:00;87.80
2016.01.11 20:00;2016.01.11 21:00;77.19
2016.01.11 21:00;2016.01.11 22:00;72.09
2016.01.11 22:00;2016.01.11 23:00;68.76
2016.01.11 23:00;2016.01.12 00:00;59.11
2016.01.12 00:00;2016.01.12 01:00;52.89
2016.01.12 01:00;2016.01.12 02:00;44.73
2016.01.12 02:00;2016.01.12 03:00;36.41
2016.01.12 03:00;2016.01.12 04:00;34.11
2016.01.12 04:00;2016.01.12 05:00;31.26
2016.01.12 05:00;2016.01.12 06:00;32.75
2016.01.12 06:00;2016.01.12 07:00;50.24
2016.01.12 07:00;2016.01.12 08:00;77.42
2016.01.12 08:00;2016.01.12 09:00;87.05
2016.01.12 10:00;2016.01.12 11:00;105.15
2016.01.12 11:00;2016.01.12 12:00;86.34
2016.01.12 12:00;2016.01.12 13:00;88.17
2016.01.12 13:00;2016.01.12 14:00;85.78
2016.01.12 14:00;2016.01.12 15:00;91.92
2016.01.12 15:00;2016.01.12 16:00;105.04
2016.01.12 16:00;2016.01.12 17:00;115.07
2016.01.12 17:00;2016.01.12 18:00;100.72
2016.01.12 18:00;2016.01.12 19:00;95.39
2016.01.12 19:00;2016.01.12 20:00;100.59
2016.01.12 20:00;2016.01.12 21:00;90.58
2016.01.12 21:00;2016.01.12 22:00;90.91
2016.01.12 22:00;2016.01.12 23:00;95.16
2016.01.12 23:00;2016.01.13 00:00;87.35
2016.01.13 00:00;2016.01.13 01:00;74.94
2016.01.13 01:00;2016.01.13 02:00;62.95
2016.01.13 02:00;2016.01.13 03:00;51.23
2016.01.13 03:00;2016.01.13 04:00;50.42
2016.01.13 04:00;2016.01.13 05:00;42.97
2016.01.13 05:00;2016.01.13 06:00;47.36
2016.01.13 06:00;2016.01.13 07:00;38.40
2016.01.13 07:00;2016.01.13 08:00;59.09
2016.01.13 08:00;2016.01.13 09:00;57.13
2016.01.13 09:00;2016.01.13 10:00;36.16
2016.01.13 10:00;2016.01.13 11:00;23.08
2016.01.13 11:00;2016.01.13 12:00;30.82
2016.01.13 12:00;2016.01.13 13:00;32.13
2016.01.13 13:00;2016.01.13 14:00;32.94
2016.01.13 14:00;2016.01.13 15:00;35.97
2016.01.13 15:00;2016.01.13 16:00;41.58
2016.01.13 16:00;2016.01.13 17:00;31.99
2016.01.13 17:00;2016.01.13 18:00;22.16
2016.01.13 18:00;2016.01.13 19:00;18.63
2016.01.13 19:00;2016.01.13 20:00;19.29
2016.01.13 20:00;2016.01.13 21:00;17.86
2016.01.13 21:00;2016.01.13 22:00;14.97
2016.01.13 22:00;2016.01.13 23:00;10.21
2016.01.13 23:00;2016.01.14 00:00;9.80
2016.01.14 00:00;2016.01.14 01:00;5.67
2016.01.14 01:00;2016.01.14 02:00;1.13
2016.01.14 02:00;2016.01.14 03:00;2.60
2016.01.14 03:00;2016.01.14 04:00;2.36
2016.01.14 04:00;2016.01.14 05:00;2.02
2016.01.14 05:00;2016.01.14 06:00;4.67
2016.01.14 06:00;2016.01.14 07:00;18.08
2016.01.14 07:00;2016.01.14 08:00;31.82
2016.01.14 08:00;2016.01.14 09:00;29.48
2016.01.14 09:00;2016.01.14 10:00;26.06
2016.01.14 10:00;2016.01.14 11:00;25.51
2016.01.14 11:00;2016.01.14 12:00;20.75
2016.01.14 12:00;2016.01.14 13:00;19.20
2016.01.14 13:00;2016.01.14 14:00;18.04
2016.01.14 14:00;2016.01.14 15:00;12.70
2016.01.14 15:00;2016.01.14 16:00;34.47
2016.01.14 16:00;2016.01.14 17:00;16.77
2016.01.14 17:00;2016.01.14 18:00;10.21
2016.01.14 18:00;2016.01.14 19:00;14.06
2016.01.14 19:00;2016.01.14 20:00;20.64
2016.01.14 20:00;2016.01.14 21:00;3.22
2016.01.14 21:00;2016.01.14 22:00;3.06
2016.01.14 22:00;2016.01.14 23:00;7.18
2016.01.14 23:00;2016.01.15 00:00;1.99
2016.01.15 00:00;2016.01.15 01:00;0.38
2016.01.15 01:00;2016.01.15 02:00;0.00
2016.01.15 02:00;2016.01.15 03:00;2.26
2016.01.15 03:00;2016.01.15 04:00;0.00
2016.01.15 04:00;2016.01.15 05:00;0.00
2016.01.15 05:00;2016.01.15 06:00;3.64
2016.01.15 06:00;2016.01.15 07:00;14.71
2016.01.15 07:00;2016.01.15 08:00;35.95
2016.01.15 08:00;2016.01.15 09:00;38.53
2016.01.15 09:00;2016.01.15 10:00;24.77
2016.01.15 10:00;2016.01.15 11:00;22.29
2016.01.15 11:00;2016.01.15 12:00;26.12
2016.01.15 12:00;2016.01.15 13:00;29.82
2016.01.15 13:00;2016.01.15 14:00;29.77
