Fra-tid;Til-tid;Rådhuset | NO2 | µg.m³
1.1.2016 0:00;1.1.2016 1:00;7.23
1.1.2016 1:00;1.1.2016 2:00;4.59
1.1.2016 2:00;1.1.2016 3:00;4.58
1.1.2016 3:00;1.1.2016 4:00;2.7
1.1.2016 4:00;1.1.2016 5:00;2.13
1.1.2016 5:00;1.1.2016 6:00;2.49
1.1.2016 6:00;1.1.2016 7:00;2.86
1.1.2016 7:00;1.1.2016 8:00;4.73
1.1.2016 8:00;1.1.2016 9:00;6.79
1.1.2016 9:00;1.1.2016 10:00;7.35
1.1.2016 10:00;1.1.2016 11:00;14.1
1.1.2016 11:00;1.1.2016 12:00;21.41
1.1.2016 12:00;1.1.2016 13:00;13.14
1.1.2016 13:00;1.1.2016 14:00;15.58
1.1.2016 14:00;1.1.2016 15:00;23.83
1.1.2016 15:00;1.1.2016 16:00;33.02
1.1.2016 16:00;1.1.2016 17:00;35.83
1.1.2016 17:00;1.1.2016 18:00;39.77
1.1.2016 18:00;1.1.2016 19:00;42.95
1.1.2016 19:00;1.1.2016 20:00;42.38
1.1.2016 20:00;1.1.2016 21:00;66.2
1.1.2016 21:00;1.1.2016 22:00;56.44
1.1.2016 22:00;1.1.2016 23:00;59.79
1.1.2016 23:00;1.2.2016 0:00;47.41
1.2.2016 0:00;1.2.2016 1:00;34.08
1.2.2016 1:00;1.2.2016 2:00;29
1.2.2016 2:00;1.2.2016 3:00;25.05
1.2.2016 3:00;1.2.2016 4:00;36.5
1.2.2016 4:00;1.2.2016 5:00;49.6
1.2.2016 5:00;1.2.2016 6:00;49.94
1.2.2016 6:00;1.2.2016 7:00;51.78
1.2.2016 7:00;1.2.2016 8:00;63.69
1.2.2016 8:00;1.2.2016 9:00;65.35
1.2.2016 9:00;1.2.2016 10:00;62.16
1.2.2016 10:00;1.2.2016 11:00;61.21
1.2.2016 11:00;1.2.2016 12:00;60.24
1.2.2016 12:00;1.2.2016 13:00;60.47
1.2.2016 13:00;1.2.2016 14:00;34.07
1.2.2016 14:00;1.2.2016 15:00;5.43
1.2.2016 15:00;1.2.2016 16:00;4.48
