Fra-tid;Til-tid;Rådhuset | O3 | µg.m³
2016.01.01 00:00;2016.01.01 01:00;64.53
2016.01.01 01:00;2016.01.01 02:00;67.14
2016.01.01 02:00;2016.01.01 03:00;68.13
2016.01.01 03:00;2016.01.01 04:00;69.73
2016.01.01 04:00;2016.01.01 05:00;70.12
2016.01.01 05:00;2016.01.01 06:00;68.90
2016.01.01 06:00;2016.01.01 07:00;68.49
2016.01.01 07:00;2016.01.01 08:00;67.47
2016.01.01 08:00;2016.01.01 09:00;66.25
2016.01.01 09:00;2016.01.01 10:00;64.82
2016.01.01 10:00;2016.01.01 11:00;58.76
2016.01.01 11:00;2016.01.01 12:00;51.68
2016.01.01 12:00;2016.01.01 13:00;60.14
2016.01.01 13:00;2016.01.01 14:00;56.09
2016.01.01 14:00;2016.01.01 15:00;48.40
2016.01.01 15:00;2016.01.01 16:00;37.28
2016.01.01 16:00;2016.01.01 17:00;38.07
2016.01.01 17:00;2016.01.01 18:00;28.36
2016.01.01 18:00;2016.01.01 19:00;30.16
2016.01.01 19:00;2016.01.01 20:00;32.16
2016.01.01 20:00;2016.01.01 21:00;3.24
2016.01.01 21:00;2016.01.01 22:00;3.82
2016.01.01 22:00;2016.01.01 23:00;0.97
2016.01.01 23:00;2016.01.02 00:00;8.63
2016.01.02 00:00;2016.01.02 01:00;16.09
2016.01.02 01:00;2016.01.02 02:00;19.10
2016.01.02 02:00;2016.01.02 03:00;21.51
2016.01.02 03:00;2016.01.02 04:00;8.94
2016.01.02 04:00;2016.01.02 05:00;-1.41
2016.01.02 05:00;2016.01.02 06:00;-1.64
2016.01.02 06:00;2016.01.02 07:00;-1.66
2016.01.02 07:00;2016.01.02 08:00;-1.69
2016.01.02 08:00;2016.01.02 09:00;-1.71
2016.01.02 09:00;2016.01.02 10:00;-1.94
2016.01.02 10:00;2016.01.02 11:00;-1.76
2016.01.02 11:00;2016.01.02 12:00;-1.58
2016.01.02 12:00;2016.01.02 13:00;-0.80
2016.01.02 13:00;2016.01.02 14:00;17.83
2016.01.02 14:00;2016.01.02 15:00;52.69
2016.01.02 15:00;2016.01.02 16:00;59.37
2016.01.02 16:00;2016.01.02 17:00;65.03
2016.01.02 17:00;2016.01.02 18:00;65.83
2016.01.02 18:00;2016.01.02 19:00;67.44
2016.01.02 19:00;2016.01.02 20:00;69.87
2016.01.02 20:00;2016.01.02 21:00;70.46
2016.01.02 21:00;2016.01.02 22:00;70.25
2016.01.02 22:00;2016.01.02 23:00;71.05
2016.01.02 23:00;2016.01.03 00:00;71.24
2016.01.03 00:00;2016.01.03 01:00;71.03
2016.01.03 01:00;2016.01.03 02:00;68.98
2016.01.03 02:00;2016.01.03 03:00;62.47
2016.01.03 03:00;2016.01.03 04:00;73.03
2016.01.03 04:00;2016.01.03 05:00;69.15
2016.01.03 05:00;2016.01.03 06:00;68.53
2016.01.03 06:00;2016.01.03 07:00;62.82
2016.01.03 07:00;2016.01.03 08:00;55.08
2016.01.03 08:00;2016.01.03 09:00;49.16
2016.01.03 09:00;2016.01.03 10:00;40.40
2016.01.03 10:00;2016.01.03 11:00;44.86
2016.01.03 11:00;2016.01.03 12:00;68.05
2016.01.03 12:00;2016.01.03 13:00;67.63
2016.01.03 13:00;2016.01.03 14:00;63.75
2016.01.03 14:00;2016.01.03 15:00;49.68
2016.01.03 15:00;2016.01.03 16:00;57.00
2016.01.03 16:00;2016.01.03 17:00;36.20
2016.01.03 17:00;2016.01.03 18:00;21.10
2016.01.03 18:00;2016.01.03 19:00;3.34
2016.01.03 19:00;2016.01.03 20:00;7.80
2016.01.03 20:00;2016.01.03 21:00;2.68
2016.01.03 21:00;2016.01.03 22:00;4.90
2016.01.03 22:00;2016.01.03 23:00;3.86
2016.01.03 23:00;2016.01.04 00:00;5.06
2016.01.04 00:00;2016.01.04 01:00;5.24
2016.01.04 01:00;2016.01.04 02:00;5.82
2016.01.04 02:00;2016.01.04 03:00;10.50
2016.01.04 03:00;2016.01.04 04:00;16.39
2016.01.04 04:00;2016.01.04 05:00;1.67
2016.01.04 05:00;2016.01.04 06:00;-1.83
2016.01.04 06:00;2016.01.04 07:00;-0.63
2016.01.04 07:00;2016.01.04 08:00;-2.90
2016.01.04 08:00;2016.01.04 09:00;-2.52
2016.01.04 09:00;2016.01.04 10:00;-2.54
2016.01.04 11:00;2016.01.04 12:00;-1.37
2016.01.04 12:00;2016.01.04 13:00;-1.19
2016.01.04 13:00;2016.01.04 14:00;-1.62
2016.01.04 14:00;2016.01.04 15:00;-1.44
2016.01.04 15:00;2016.01.04 16:00;-1.06
2016.01.04 16:00;2016.01.04 17:00;-0.68
2016.01.04 17:00;2016.01.04 18:00;0.53
2016.01.04 18:00;2016.01.04 19:00;2.55
2016.01.04 19:00;2016.01.04 20:00;4.57
2016.01.04 20:00;2016.01.04 21:00;2.70
2016.01.04 21:00;2016.01.04 22:00;3.09
2016.01.04 22:00;2016.01.04 23:00;3.68
2016.01.04 23:00;2016.01.05 00:00;2.43
2016.01.05 00:00;2016.01.05 01:00;2.20
2016.01.05 01:00;2016.01.05 02:00;-0.08
2016.01.05 02:00;2016.01.05 03:00;-1.13
2016.01.05 03:00;2016.01.05 04:00;-2.19
2016.01.05 04:00;2016.01.05 05:00;-2.21
2016.01.05 05:00;2016.01.05 06:00;-2.85
2016.01.05 06:00;2016.01.05 07:00;-3.29
2016.01.05 07:00;2016.01.05 08:00;-2.90
2016.01.05 08:00;2016.01.05 09:00;-2.31
2016.01.05 09:00;2016.01.05 10:00;-2.13
2016.01.05 10:00;2016.01.05 11:00;-1.54
2016.01.05 11:00;2016.01.05 12:00;-0.95
2016.01.05 12:00;2016.01.05 13:00;-1.18
2016.01.05 13:00;2016.01.05 14:00;-1.82
2016.01.05 15:00;2016.01.05 16:00;-1.60
2016.01.05 16:00;2016.01.05 17:00;-1.15
2016.01.05 17:00;2016.01.05 18:00;0.13
2016.01.05 18:00;2016.01.05 19:00;0.78
2016.01.05 19:00;2016.01.05 20:00;3.29
2016.01.05 20:00;2016.01.05 21:00;2.92
2016.01.05 21:00;2016.01.05 22:00;2.14
2016.01.05 22:00;2016.01.05 23:00;2.80
2016.01.05 23:00;2016.01.06 00:00;2.43
2016.01.06 00:00;2016.01.06 01:00;1.44
2016.01.06 01:00;2016.01.06 02:00;-0.36
2016.01.06 02:00;2016.01.06 03:00;-1.14
2016.01.06 03:00;2016.01.06 04:00;-2.33
2016.01.06 04:00;2016.01.06 05:00;-2.49
2016.01.06 05:00;2016.01.06 06:00;-2.65
2016.01.06 06:00;2016.01.06 07:00;-2.61
2016.01.06 07:00;2016.01.06 08:00;-2.16
2016.01.06 08:00;2016.01.06 09:00;-2.53
2016.01.06 09:00;2016.01.06 10:00;-2.08
