Fra-tid;Til-tid;Danmarksplass | PM10 | µg.m³
2016.01.01 00:00;2016.01.01 01:00;29.59
2016.01.01 01:00;2016.01.01 02:00;9.68
2016.01.01 02:00;2016.01.01 03:00;4.95
2016.01.01 03:00;2016.01.01 04:00;11.55
2016.01.01 04:00;2016.01.01 05:00;22.99
2016.01.01 05:00;2016.01.01 06:00;4.4
2016.01.01 06:00;2016.01.01 07:00;6.27
2016.01.01 07:00;2016.01.01 08:00;6.6
2016.01.01 08:00;2016.01.01 09:00;9.02
2016.01.01 09:00;2016.01.01 10:00;14.08
2016.01.01 10:00;2016.01.01 11:00;13.97
2016.01.01 11:00;2016.01.01 12:00;16.94
2016.01.01 12:00;2016.01.01 13:00;20.02
2016.01.01 13:00;2016.01.01 14:00;19.91
2016.01.01 14:00;2016.01.01 15:00;21.01
2016.01.01 15:00;2016.01.01 16:00;23.54
2016.01.01 16:00;2016.01.01 17:00;25.19
2016.01.01 17:00;2016.01.01 18:00;31.79
2016.01.01 18:00;2016.01.01 19:00;24.09
2016.01.01 19:00;2016.01.01 20:00;23.21
2016.01.01 20:00;2016.01.01 21:00;24.42
2016.01.01 21:00;2016.01.01 22:00;24.97
2016.01.01 22:00;2016.01.01 23:00;27.72
2016.01.01 23:00;2016.01.02 00:00;26.51
2016.01.02 00:00;2016.01.02 01:00;24.97
2016.01.02 01:00;2016.01.02 02:00;17.93
2016.01.02 02:00;2016.01.02 03:00;12.98
2016.01.02 03:00;2016.01.02 04:00;14.41
2016.01.02 04:00;2016.01.02 05:00;14.74
2016.01.02 05:00;2016.01.02 06:00;15.84
2016.01.02 06:00;2016.01.02 07:00;15.73
2016.01.02 07:00;2016.01.02 08:00;13.53
2016.01.02 08:00;2016.01.02 09:00;14.3
2016.01.02 09:00;2016.01.02 10:00;13.2
2016.01.02 10:00;2016.01.02 11:00;18.7
2016.01.02 11:00;2016.01.02 12:00;23.76
2016.01.02 12:00;2016.01.02 13:00;24.2
2016.01.02 13:00;2016.01.02 14:00;31.79
2016.01.02 14:00;2016.01.02 15:00;7.04
2016.01.02 15:00;2016.01.02 16:00;3.96
2016.01.02 16:00;2016.01.02 17:00;23.21
2016.01.02 17:00;2016.01.02 18:00;15.4
2016.01.02 18:00;2016.01.02 19:00;17.27
2016.01.02 19:00;2016.01.02 20:00;10.56
2016.01.02 20:00;2016.01.02 21:00;14.08
2016.01.02 21:00;2016.01.02 22:00;6.82
