Fra-tid;Til-tid;Loddefjord | PM10 | µg.m³
1.1.2016 0:00;1.1.2016 1:00;22.23
1.1.2016 1:00;1.1.2016 2:00;7.62
1.1.2016 2:00;1.1.2016 3:00;6.13
1.1.2016 3:00;1.1.2016 4:00;5.88
1.1.2016 4:00;1.1.2016 5:00;5.68
1.1.2016 5:00;1.1.2016 6:00;2.54
1.1.2016 6:00;1.1.2016 7:00;1.3
1.1.2016 7:00;1.1.2016 8:00;0.91
1.1.2016 8:00;1.1.2016 9:00;4.31
1.1.2016 9:00;1.1.2016 10:00;6.55
1.1.2016 10:00;1.1.2016 11:00;7.96
1.1.2016 11:00;1.1.2016 12:00;8.06
1.1.2016 12:00;1.1.2016 13:00;9.18
1.1.2016 13:00;1.1.2016 14:00;11.67
1.1.2016 14:00;1.1.2016 15:00;13.27
1.1.2016 15:00;1.1.2016 16:00;13.15
1.1.2016 16:00;1.1.2016 17:00;14.09
1.1.2016 17:00;1.1.2016 18:00;14.56
1.1.2016 18:00;1.1.2016 19:00;16.77
1.1.2016 19:00;1.1.2016 20:00;21.9
1.1.2016 20:00;1.1.2016 21:00;19.97
1.1.2016 21:00;1.1.2016 22:00;19.43
1.1.2016 22:00;1.1.2016 23:00;19.07
1.1.2016 23:00;1.2.2016 0:00;16.83
1.2.2016 0:00;1.2.2016 1:00;13.95
1.2.2016 1:00;1.2.2016 2:00;12.88
1.2.2016 2:00;1.2.2016 3:00;11.39
1.2.2016 3:00;1.2.2016 4:00;9.78
1.2.2016 4:00;1.2.2016 5:00;7.21
1.2.2016 5:00;1.2.2016 6:00;5.64
1.2.2016 6:00;1.2.2016 7:00;3.85
1.2.2016 7:00;1.2.2016 8:00;4.47
1.2.2016 8:00;1.2.2016 9:00;5.97
1.2.2016 9:00;1.2.2016 10:00;6.46
1.2.2016 10:00;1.2.2016 11:00;9
1.2.2016 11:00;1.2.2016 12:00;10.45
1.2.2016 12:00;1.2.2016 13:00;17.71
1.2.2016 13:00;1.2.2016 14:00;17.48
1.2.2016 14:00;1.2.2016 15:00;13.13
1.2.2016 15:00;1.2.2016 16:00;17.64
1.2.2016 16:00;1.2.2016 17:00;5.66
1.2.2016 17:00;1.2.2016 18:00;5.87
1.2.2016 18:00;1.2.2016 19:00;11.68
1.2.2016 19:00;1.2.2016 20:00;15.6
1.2.2016 20:00;1.2.2016 21:00;15.57
1.2.2016 21:00;1.2.2016 22:00;6.28
1.2.2016 22:00;1.2.2016 23:00;10.35
1.2.2016 23:00;1.3.2016 0:00;14.33
1.3.2016 0:00;1.3.2016 1:00;13.96
1.3.2016 1:00;1.3.2016 2:00;10.8
1.3.2016 2:00;1.3.2016 3:00;10.55
1.3.2016 3:00;1.3.2016 4:00;10.08
1.3.2016 4:00;1.3.2016 5:00;9.17
1.3.2016 5:00;1.3.2016 6:00;7.52
1.3.2016 6:00;1.3.2016 7:00;4.61
1.3.2016 7:00;1.3.2016 8:00;3.65
1.3.2016 8:00;1.3.2016 9:00;4.69
1.3.2016 9:00;1.3.2016 10:00;6.07
1.3.2016 10:00;1.3.2016 11:00;5.86
1.3.2016 11:00;1.3.2016 12:00;9.85
1.3.2016 12:00;1.3.2016 13:00;12.99
1.3.2016 13:00;1.3.2016 14:00;18.19
1.3.2016 14:00;1.3.2016 15:00;24.35
1.3.2016 15:00;1.3.2016 16:00;22.8
1.3.2016 16:00;1.3.2016 17:00;26.38
1.3.2016 17:00;1.3.2016 18:00;27.04
1.3.2016 18:00;1.3.2016 19:00;29.33
1.3.2016 19:00;1.3.2016 20:00;31.47
1.3.2016 20:00;1.3.2016 21:00;29.83
1.3.2016 21:00;1.3.2016 22:00;24.51
1.3.2016 22:00;1.3.2016 23:00;20.87
1.3.2016 23:00;1.4.2016 0:00;16.44
1.4.2016 0:00;1.4.2016 1:00;16.15
1.4.2016 1:00;1.4.2016 2:00;16.89
1.4.2016 2:00;1.4.2016 3:00;9.66
1.4.2016 3:00;1.4.2016 4:00;8.45
1.4.2016 4:00;1.4.2016 5:00;7.34
1.4.2016 5:00;1.4.2016 6:00;6.71
1.4.2016 6:00;1.4.2016 7:00;10.21
1.4.2016 7:00;1.4.2016 8:00;18.56
1.4.2016 8:00;1.4.2016 9:00;20.18
1.4.2016 9:00;1.4.2016 10:00;23.89
1.4.2016 10:00;1.4.2016 11:00;29.08
1.4.2016 11:00;1.4.2016 12:00;29.91
1.4.2016 12:00;1.4.2016 13:00;30.7
1.4.2016 13:00;1.4.2016 14:00;27.48
1.4.2016 14:00;1.4.2016 15:00;21.82
1.4.2016 15:00;1.4.2016 16:00;27.71
1.4.2016 16:00;1.4.2016 17:00;29.79
1.4.2016 17:00;1.4.2016 18:00;37.21
1.4.2016 18:00;1.4.2016 19:00;38.69
1.4.2016 19:00;1.4.2016 20:00;43.97
1.4.2016 20:00;1.4.2016 21:00;42.84
1.4.2016 21:00;1.4.2016 22:00;44.96
1.4.2016 22:00;1.4.2016 23:00;43.79
1.4.2016 23:00;1.5.2016 0:00;33.9
1.5.2016 0:00;1.5.2016 1:00;28.88
1.5.2016 1:00;1.5.2016 2:00;19.68
1.5.2016 2:00;1.5.2016 3:00;20.74
1.5.2016 3:00;1.5.2016 4:00;11.54
1.5.2016 4:00;1.5.2016 5:00;9.77
1.5.2016 5:00;1.5.2016 6:00;9.23
1.5.2016 6:00;1.5.2016 7:00;12.42
1.5.2016 7:00;1.5.2016 8:00;18.77
1.5.2016 8:00;1.5.2016 9:00;22.81
1.5.2016 9:00;1.5.2016 10:00;26.73
1.5.2016 10:00;1.5.2016 11:00;24.51
1.5.2016 11:00;1.5.2016 12:00;22.85
1.5.2016 12:00;1.5.2016 13:00;29.29
1.5.2016 13:00;1.5.2016 14:00;28.62
1.5.2016 14:00;1.5.2016 15:00;29.66
1.5.2016 15:00;1.5.2016 16:00;29.2
1.5.2016 16:00;1.5.2016 17:00;30.98
1.5.2016 17:00;1.5.2016 18:00;37.21
1.5.2016 18:00;1.5.2016 19:00;43.54
1.5.2016 19:00;1.5.2016 20:00;38
1.5.2016 20:00;1.5.2016 21:00;35.68
1.5.2016 21:00;1.5.2016 22:00;36.26
1.5.2016 22:00;1.5.2016 23:00;34.7
1.5.2016 23:00;1.6.2016 0:00;27.68
1.6.2016 0:00;1.6.2016 1:00;25.22
1.6.2016 1:00;1.6.2016 2:00;17.73
1.6.2016 2:00;1.6.2016 3:00;16.25
1.6.2016 3:00;1.6.2016 4:00;12.43
1.6.2016 4:00;1.6.2016 5:00;8.43
1.6.2016 5:00;1.6.2016 6:00;6.49
1.6.2016 6:00;1.6.2016 7:00;10.89
1.6.2016 7:00;1.6.2016 8:00;18.44
1.6.2016 8:00;1.6.2016 9:00;28.53
