Fra-tid;Til-tid;Rolland, Åsane | PM10 | µg.m³
1.17.2016 22:00;1.17.2016 23:00;44.19
1.17.2016 21:00;1.17.2016 22:00;42.25
1.6.2016 18:00;1.6.2016 19:00;40.8
1.17.2016 19:00;1.17.2016 20:00;40.03
1.17.2016 20:00;1.17.2016 21:00;38.85
1.17.2016 23:00;1.18.2016 0:00;37.65
1.18.2016 0:00;1.18.2016 1:00;33.77
1.7.2016 11:00;1.7.2016 12:00;32.4
1.7.2016 15:00;1.7.2016 16:00;30.78
1.17.2016 18:00;1.17.2016 19:00;30.49
1.29.2016 14:00;1.29.2016 15:00;30.18
1.29.2016 18:00;1.29.2016 19:00;29.95
1.29.2016 19:00;1.29.2016 20:00;29.59
1.29.2016 20:00;1.29.2016 21:00;27.19
1.7.2016 14:00;1.7.2016 15:00;27.09
1.5.2016 17:00;1.5.2016 18:00;26.16
1.17.2016 16:00;1.17.2016 17:00;26.05
1.17.2016 12:00;1.17.2016 13:00;25.92
1.8.2016 20:00;1.8.2016 21:00;25.85
1.6.2016 17:00;1.6.2016 18:00;25.3
1.5.2016 19:00;1.5.2016 20:00;24.94
1.29.2016 22:00;1.29.2016 23:00;24.48
1.29.2016 21:00;1.29.2016 22:00;24.29
1.7.2016 10:00;1.7.2016 11:00;23.78
1.29.2016 17:00;1.29.2016 18:00;23.78
1.17.2016 15:00;1.17.2016 16:00;23.73
1.18.2016 1:00;1.18.2016 2:00;23.71
1.17.2016 17:00;1.17.2016 18:00;23.59
1.4.2016 20:00;1.4.2016 21:00;23.44
1.5.2016 18:00;1.5.2016 19:00;23.14
1.29.2016 15:00;1.29.2016 16:00;22.86
1.7.2016 20:00;1.7.2016 21:00;22.2
1.7.2016 19:00;1.7.2016 20:00;22.15
1.29.2016 13:00;1.29.2016 14:00;22.15
1.29.2016 16:00;1.29.2016 17:00;21.14
1.4.2016 18:00;1.4.2016 19:00;21.06
1.4.2016 21:00;1.4.2016 22:00;20.84
1.21.2016 19:00;1.21.2016 20:00;20.78
1.7.2016 18:00;1.7.2016 19:00;20.74
1.21.2016 20:00;1.21.2016 21:00;20.64
1.4.2016 19:00;1.4.2016 20:00;20.61
1.6.2016 19:00;1.6.2016 20:00;20.52
1.4.2016 17:00;1.4.2016 18:00;20.49
1.8.2016 10:00;1.8.2016 11:00;20.27
1.19.2016 18:00;1.19.2016 19:00;20.18
1.30.2016 2:00;1.30.2016 3:00;20.14
1.5.2016 20:00;1.5.2016 21:00;19.54
1.30.2016 0:00;1.30.2016 1:00;19.5
1.8.2016 21:00;1.8.2016 22:00;19.41
1.6.2016 16:00;1.6.2016 17:00;19.35
1.6.2016 20:00;1.6.2016 21:00;19.16
1.12.2016 20:00;1.12.2016 21:00;19.11
1.4.2016 22:00;1.4.2016 23:00;18.94
1.7.2016 21:00;1.7.2016 22:00;18.75
1.30.2016 1:00;1.30.2016 2:00;18.41
1.23.2016 18:00;1.23.2016 19:00;18.36
1.29.2016 23:00;1.30.2016 0:00;18.31
1.8.2016 11:00;1.8.2016 12:00;18.25
1.4.2016 15:00;1.4.2016 16:00;17.94
1.24.2016 3:00;1.24.2016 4:00;17.94
1.26.2016 9:00;1.26.2016 10:00;17.89
1.9.2016 16:00;1.9.2016 17:00;17.83
1.26.2016 6:00;1.26.2016 7:00;17.73
1.9.2016 13:00;1.9.2016 14:00;17.72
1.8.2016 18:00;1.8.2016 19:00;17.56
1.8.2016 19:00;1.8.2016 20:00;17.43
1.29.2016 5:00;1.29.2016 6:00;17.39
1.16.2016 19:00;1.16.2016 20:00;17.3
1.24.2016 2:00;1.24.2016 3:00;17.29
1.6.2016 15:00;1.6.2016 16:00;17.23
1.17.2016 14:00;1.17.2016 15:00;17.03
1.24.2016 4:00;1.24.2016 5:00;16.98
1.26.2016 10:00;1.26.2016 11:00;16.85
1.26.2016 23:00;1.27.2016 0:00;16.67
1.18.2016 21:00;1.18.2016 22:00;16.66
1.16.2016 21:00;1.16.2016 22:00;16.65
1.4.2016 14:00;1.4.2016 15:00;16.54
1.26.2016 3:00;1.26.2016 4:00;16.5
1.26.2016 7:00;1.26.2016 8:00;16.48
1.19.2016 21:00;1.19.2016 22:00;16.47
1.29.2016 12:00;1.29.2016 13:00;16.45
1.12.2016 18:00;1.12.2016 19:00;16.28
1.23.2016 19:00;1.23.2016 20:00;16.24
1.4.2016 16:00;1.4.2016 17:00;16.23
1.21.2016 21:00;1.21.2016 22:00;16.17
1.30.2016 3:00;1.30.2016 4:00;16.14
1.26.2016 8:00;1.26.2016 9:00;15.87
1.29.2016 6:00;1.29.2016 7:00;15.54
1.6.2016 14:00;1.6.2016 15:00;15.45
1.12.2016 17:00;1.12.2016 18:00;15.44
1.8.2016 22:00;1.8.2016 23:00;15.4
1.19.2016 17:00;1.19.2016 18:00;15.26
1.8.2016 17:00;1.8.2016 18:00;15.24
