Fra-tid;Til-tid;Rådhuset | PM10 | µg.m³
1.1.2016 0:00;1.1.2016 1:00;18.92
1.1.2016 1:00;1.1.2016 2:00;9.35
1.1.2016 2:00;1.1.2016 3:00;5.72
1.1.2016 3:00;1.1.2016 4:00;11.55
1.1.2016 4:00;1.1.2016 5:00;19.8
1.1.2016 5:00;1.1.2016 6:00;4.29
1.1.2016 6:00;1.1.2016 7:00;6.82
1.1.2016 7:00;1.1.2016 8:00;7.48
1.1.2016 8:00;1.1.2016 9:00;9.24
1.1.2016 9:00;1.1.2016 10:00;13.31
1.1.2016 10:00;1.1.2016 11:00;16.39
1.1.2016 11:00;1.1.2016 12:00;19.14
1.1.2016 12:00;1.1.2016 13:00;20.79
1.1.2016 13:00;1.1.2016 14:00;17.38
1.1.2016 14:00;1.1.2016 15:00;18.04
1.1.2016 15:00;1.1.2016 16:00;17.82
1.1.2016 16:00;1.1.2016 17:00;17.71
1.1.2016 17:00;1.1.2016 18:00;17.6
1.1.2016 18:00;1.1.2016 19:00;21.12
1.1.2016 19:00;1.1.2016 20:00;22.33
1.1.2016 20:00;1.1.2016 21:00;22.11
1.1.2016 21:00;1.1.2016 22:00;21.89
1.1.2016 22:00;1.1.2016 23:00;20.9
1.1.2016 23:00;1.2.2016 0:00;19.8
1.2.2016 0:00;1.2.2016 1:00;16.06
1.2.2016 1:00;1.2.2016 2:00;14.3
1.2.2016 2:00;1.2.2016 3:00;15.51
1.2.2016 3:00;1.2.2016 4:00;13.75
1.2.2016 4:00;1.2.2016 5:00;16.06
1.2.2016 5:00;1.2.2016 6:00;14.96
1.2.2016 6:00;1.2.2016 7:00;15.18
1.2.2016 7:00;1.2.2016 8:00;16.72
1.2.2016 8:00;1.2.2016 9:00;16.94
1.2.2016 9:00;1.2.2016 10:00;14.41
1.2.2016 10:00;1.2.2016 11:00;13.64
1.2.2016 11:00;1.2.2016 12:00;15.51
1.2.2016 12:00;1.2.2016 13:00;19.8
1.2.2016 13:00;1.2.2016 14:00;4.18
1.2.2016 14:00;1.2.2016 15:00;1.98
1.2.2016 15:00;1.2.2016 16:00;2.09
1.2.2016 16:00;1.2.2016 17:00;1.1
1.2.2016 17:00;1.2.2016 18:00;2.64
1.2.2016 18:00;1.2.2016 19:00;1.87
1.2.2016 19:00;1.2.2016 20:00;2.64
