Fra-tid;Til-tid;Danmarksplass | PM2.5 | µg.m³
2016.01.01 00:00;2016.01.01 01:00;21.2
2016.01.01 01:00;2016.01.01 02:00;4.9
2016.01.01 02:00;2016.01.01 03:00;1.6
2016.01.01 03:00;2016.01.01 04:00;6.3
2016.01.01 04:00;2016.01.01 05:00;12.9
2016.01.01 05:00;2016.01.01 06:00;3.6
2016.01.01 06:00;2016.01.01 07:00;4.7
2016.01.01 07:00;2016.01.01 08:00;4.8
2016.01.01 08:00;2016.01.01 09:00;6.2
2016.01.01 09:00;2016.01.01 10:00;6.9
2016.01.01 10:00;2016.01.01 11:00;7.2
2016.01.01 11:00;2016.01.01 12:00;8.3
2016.01.01 12:00;2016.01.01 13:00;10.7
2016.01.01 13:00;2016.01.01 14:00;10.3
2016.01.01 14:00;2016.01.01 15:00;10.6
2016.01.01 15:00;2016.01.01 16:00;12.2
2016.01.01 16:00;2016.01.01 17:00;14.4
2016.01.01 17:00;2016.01.01 18:00;18.9
2016.01.01 18:00;2016.01.01 19:00;12
2016.01.01 19:00;2016.01.01 20:00;11.6
2016.01.01 20:00;2016.01.01 21:00;14
2016.01.01 21:00;2016.01.01 22:00;14.9
2016.01.01 22:00;2016.01.01 23:00;18
2016.01.01 23:00;2016.01.02 00:00;17.5
2016.01.02 00:00;2016.01.02 01:00;16.7
2016.01.02 01:00;2016.01.02 02:00;11
2016.01.02 02:00;2016.01.02 03:00;7.9
2016.01.02 03:00;2016.01.02 04:00;8.3
2016.01.02 04:00;2016.01.02 05:00;9.2
2016.01.02 05:00;2016.01.02 06:00;9.9
2016.01.02 06:00;2016.01.02 07:00;9.8
2016.01.02 07:00;2016.01.02 08:00;9.2
2016.01.02 08:00;2016.01.02 09:00;10.3
2016.01.02 09:00;2016.01.02 10:00;9.6
2016.01.02 10:00;2016.01.02 11:00;13.1
2016.01.02 11:00;2016.01.02 12:00;16.6
2016.01.02 12:00;2016.01.02 13:00;17.4
2016.01.02 13:00;2016.01.02 14:00;22.1
2016.01.02 14:00;2016.01.02 15:00;5.5
2016.01.02 15:00;2016.01.02 16:00;1.3
2016.01.02 16:00;2016.01.02 17:00;1.9
2016.01.02 17:00;2016.01.02 18:00;3.3
2016.01.02 18:00;2016.01.02 19:00;3.5
2016.01.02 19:00;2016.01.02 20:00;2.5
2016.01.02 20:00;2016.01.02 21:00;4.3
2016.01.02 21:00;2016.01.02 22:00;2
2016.01.02 22:00;2016.01.02 23:00;2.9
2016.01.02 23:00;2016.01.03 00:00;3.6
2016.01.03 00:00;2016.01.03 01:00;4.8
2016.01.03 01:00;2016.01.03 02:00;5.9
2016.01.03 02:00;2016.01.03 03:00;7.2
2016.01.03 03:00;2016.01.03 04:00;6.1
2016.01.03 04:00;2016.01.03 05:00;4.9
2016.01.03 05:00;2016.01.03 06:00;3
2016.01.03 06:00;2016.01.03 07:00;4.8
2016.01.03 07:00;2016.01.03 08:00;4
2016.01.03 08:00;2016.01.03 09:00;5.7
2016.01.03 09:00;2016.01.03 10:00;7.2
2016.01.03 10:00;2016.01.03 11:00;10.4
2016.01.03 11:00;2016.01.03 12:00;11.4
2016.01.03 12:00;2016.01.03 13:00;16
2016.01.03 13:00;2016.01.03 14:00;17.6
2016.01.03 14:00;2016.01.03 15:00;17.7
2016.01.03 15:00;2016.01.03 16:00;4.8
2016.01.03 16:00;2016.01.03 17:00;29.4
2016.01.03 17:00;2016.01.03 18:00;30.5
2016.01.03 18:00;2016.01.03 19:00;34.5
2016.01.03 19:00;2016.01.03 20:00;30.4
2016.01.03 20:00;2016.01.03 21:00;33.5
2016.01.03 21:00;2016.01.03 22:00;36.1
2016.01.03 22:00;2016.01.03 23:00;33.1
2016.01.03 23:00;2016.01.04 00:00;25.5
2016.01.04 00:00;2016.01.04 01:00;22.3
2016.01.04 01:00;2016.01.04 02:00;18.2
2016.01.04 02:00;2016.01.04 03:00;12.9
2016.01.04 03:00;2016.01.04 04:00;7.7
2016.01.04 04:00;2016.01.04 05:00;8.4
2016.01.04 05:00;2016.01.04 06:00;6
2016.01.04 06:00;2016.01.04 07:00;10.8
2016.01.04 07:00;2016.01.04 08:00;13.2
2016.01.04 08:00;2016.01.04 09:00;21.2
2016.01.04 09:00;2016.01.04 10:00;26.9
2016.01.04 10:00;2016.01.04 11:00;29.6
2016.01.04 11:00;2016.01.04 12:00;28.1
2016.01.04 12:00;2016.01.04 13:00;25.6
2016.01.04 13:00;2016.01.04 14:00;28.5
