Fra-tid;Til-tid;Loddefjord | PM2.5 | µg.m³
2016.01.01 00:00;2016.01.01 01:00;18.60
2016.01.01 01:00;2016.01.01 02:00;4.96
2016.01.01 02:00;2016.01.01 03:00;3.93
2016.01.01 03:00;2016.01.01 04:00;3.69
2016.01.01 04:00;2016.01.01 05:00;3.23
2016.01.01 05:00;2016.01.01 06:00;1.57
2016.01.01 06:00;2016.01.01 07:00;0.66
2016.01.01 07:00;2016.01.01 08:00;0.53
2016.01.01 08:00;2016.01.01 09:00;2.07
2016.01.01 09:00;2016.01.01 10:00;3.57
2016.01.01 10:00;2016.01.01 11:00;4.57
2016.01.01 11:00;2016.01.01 12:00;4.84
2016.01.01 12:00;2016.01.01 13:00;5.58
2016.01.01 13:00;2016.01.01 14:00;7.41
2016.01.01 14:00;2016.01.01 15:00;8.61
2016.01.01 15:00;2016.01.01 16:00;7.09
2016.01.01 16:00;2016.01.01 17:00;7.99
2016.01.01 17:00;2016.01.01 18:00;8.10
2016.01.01 18:00;2016.01.01 19:00;10.90
2016.01.01 19:00;2016.01.01 20:00;14.70
2016.01.01 20:00;2016.01.01 21:00;10.32
2016.01.01 21:00;2016.01.01 22:00;11.54
2016.01.01 22:00;2016.01.01 23:00;12.25
2016.01.01 23:00;2016.01.02 00:00;10.57
2016.01.02 00:00;2016.01.02 01:00;10.14
2016.01.02 01:00;2016.01.02 02:00;9.25
2016.01.02 02:00;2016.01.02 03:00;8.43
2016.01.02 03:00;2016.01.02 04:00;7.52
2016.01.02 04:00;2016.01.02 05:00;4.64
2016.01.02 05:00;2016.01.02 06:00;3.46
2016.01.02 06:00;2016.01.02 07:00;2.32
2016.01.02 07:00;2016.01.02 08:00;1.87
2016.01.02 08:00;2016.01.02 09:00;2.37
2016.01.02 09:00;2016.01.02 10:00;2.44
2016.01.02 10:00;2016.01.02 11:00;3.42
2016.01.02 11:00;2016.01.02 12:00;4.57
2016.01.02 12:00;2016.01.02 13:00;8.45
2016.01.02 13:00;2016.01.02 14:00;9.62
2016.01.02 14:00;2016.01.02 15:00;7.13
2016.01.02 15:00;2016.01.02 16:00;9.39
2016.01.02 16:00;2016.01.02 17:00;2.57
2016.01.02 17:00;2016.01.02 18:00;2.75
2016.01.02 18:00;2016.01.02 19:00;7.58
2016.01.02 19:00;2016.01.02 20:00;12.54
2016.01.02 20:00;2016.01.02 21:00;13.11
2016.01.02 21:00;2016.01.02 22:00;4.22
2016.01.02 22:00;2016.01.02 23:00;7.36
2016.01.02 23:00;2016.01.03 00:00;11.13
2016.01.03 00:00;2016.01.03 01:00;11.65
2016.01.03 01:00;2016.01.03 02:00;7.84
2016.01.03 02:00;2016.01.03 03:00;6.33
2016.01.03 03:00;2016.01.03 04:00;6.65
2016.01.03 04:00;2016.01.03 05:00;6.06
2016.01.03 05:00;2016.01.03 06:00;4.50
2016.01.03 06:00;2016.01.03 07:00;2.72
2016.01.03 07:00;2016.01.03 08:00;2.59
2016.01.03 08:00;2016.01.03 09:00;2.72
2016.01.03 09:00;2016.01.03 10:00;4.37
2016.01.03 10:00;2016.01.03 11:00;3.88
2016.01.03 11:00;2016.01.03 12:00;7.45
2016.01.03 12:00;2016.01.03 13:00;10.86
2016.01.03 13:00;2016.01.03 14:00;15.74
2016.01.03 14:00;2016.01.03 15:00;21.83
2016.01.03 15:00;2016.01.03 16:00;18.82
2016.01.03 16:00;2016.01.03 17:00;21.76
2016.01.03 17:00;2016.01.03 18:00;20.88
2016.01.03 18:00;2016.01.03 19:00;20.84
2016.01.03 19:00;2016.01.03 20:00;23.27
2016.01.03 20:00;2016.01.03 21:00;21.16
2016.01.03 21:00;2016.01.03 22:00;17.20
2016.01.03 22:00;2016.01.03 23:00;16.04
2016.01.03 23:00;2016.01.04 00:00;12.47
2016.01.04 00:00;2016.01.04 01:00;12.23
2016.01.04 01:00;2016.01.04 02:00;14.07
2016.01.04 02:00;2016.01.04 03:00;8.23
2016.01.04 03:00;2016.01.04 04:00;7.11
2016.01.04 04:00;2016.01.04 05:00;6.37
2016.01.04 05:00;2016.01.04 06:00;5.77
2016.01.04 06:00;2016.01.04 07:00;7.02
2016.01.04 07:00;2016.01.04 08:00;11.04
2016.01.04 08:00;2016.01.04 09:00;10.46
2016.01.04 09:00;2016.01.04 10:00;10.77
2016.01.04 10:00;2016.01.04 11:00;11.88
2016.01.04 11:00;2016.01.04 12:00;13.77
2016.01.04 12:00;2016.01.04 13:00;17.08
2016.01.04 13:00;2016.01.04 14:00;19.66
2016.01.04 14:00;2016.01.04 15:00;16.04
2016.01.04 15:00;2016.01.04 16:00;20.04
2016.01.04 16:00;2016.01.04 17:00;21.51
2016.01.04 17:00;2016.01.04 18:00;25.45
2016.01.04 18:00;2016.01.04 19:00;27.75
2016.01.04 19:00;2016.01.04 20:00;32.07
2016.01.04 20:00;2016.01.04 21:00;32.12
2016.01.04 21:00;2016.01.04 22:00;36.07
2016.01.04 22:00;2016.01.04 23:00;36.05
2016.01.04 23:00;2016.01.05 00:00;27.61
2016.01.05 00:00;2016.01.05 01:00;23.37
2016.01.05 01:00;2016.01.05 02:00;17.06
2016.01.05 02:00;2016.01.05 03:00;18.66
2016.01.05 03:00;2016.01.05 04:00;10.31
2016.01.05 04:00;2016.01.05 05:00;8.18
2016.01.05 05:00;2016.01.05 06:00;7.11
2016.01.05 06:00;2016.01.05 07:00;8.88
2016.01.05 07:00;2016.01.05 08:00;11.08
2016.01.05 08:00;2016.01.05 09:00;12.05
2016.01.05 09:00;2016.01.05 10:00;12.83
2016.01.05 10:00;2016.01.05 11:00;12.89
2016.01.05 11:00;2016.01.05 12:00;11.94
2016.01.05 12:00;2016.01.05 13:00;17.33
2016.01.05 13:00;2016.01.05 14:00;20.06
2016.01.05 14:00;2016.01.05 15:00;21.76
2016.01.05 15:00;2016.01.05 16:00;19.87
2016.01.05 16:00;2016.01.05 17:00;20.67
2016.01.05 17:00;2016.01.05 18:00;24.46
2016.01.05 18:00;2016.01.05 19:00;30.12
2016.01.05 19:00;2016.01.05 20:00;28.64
2016.01.05 20:00;2016.01.05 21:00;26.29
2016.01.05 21:00;2016.01.05 22:00;26.95
2016.01.05 22:00;2016.01.05 23:00;28.26
2016.01.05 23:00;2016.01.06 00:00;21.50
2016.01.06 00:00;2016.01.06 01:00;20.40
2016.01.06 01:00;2016.01.06 02:00;14.24
2016.01.06 02:00;2016.01.06 03:00;12.44
2016.01.06 03:00;2016.01.06 04:00;9.66
2016.01.06 04:00;2016.01.06 05:00;6.93
2016.01.06 05:00;2016.01.06 06:00;5.54
2016.01.06 06:00;2016.01.06 07:00;6.68
2016.01.06 07:00;2016.01.06 08:00;9.56
2016.01.06 08:00;2016.01.06 09:00;12.03
2016.01.06 09:00;2016.01.06 10:00;10.76
2016.01.06 10:00;2016.01.06 11:00;10.01
2016.01.06 11:00;2016.01.06 12:00;10.41
2016.01.06 12:00;2016.01.06 13:00;13.61
2016.01.06 13:00;2016.01.06 14:00;7.42
2016.01.06 14:00;2016.01.06 15:00;6.06
2016.01.06 15:00;2016.01.06 16:00;6.83
2016.01.06 16:00;2016.01.06 17:00;14.40
2016.01.06 17:00;2016.01.06 18:00;14.59
2016.01.06 18:00;2016.01.06 19:00;14.01
2016.01.06 19:00;2016.01.06 20:00;20.40
2016.01.06 20:00;2016.01.06 21:00;23.45
2016.01.06 21:00;2016.01.06 22:00;18.91
2016.01.06 22:00;2016.01.06 23:00;19.05
2016.01.06 23:00;2016.01.07 00:00;21.21
2016.01.07 00:00;2016.01.07 01:00;17.93
2016.01.07 01:00;2016.01.07 02:00;13.16
2016.01.07 02:00;2016.01.07 03:00;12.03
2016.01.07 03:00;2016.01.07 04:00;11.92
2016.01.07 04:00;2016.01.07 05:00;10.49
2016.01.07 05:00;2016.01.07 06:00;9.23
2016.01.07 06:00;2016.01.07 07:00;6.65
2016.01.07 07:00;2016.01.07 08:00;8.58
2016.01.07 08:00;2016.01.07 09:00;10.54
2016.01.07 09:00;2016.01.07 10:00;12.13
2016.01.07 10:00;2016.01.07 11:00;10.85
2016.01.07 11:00;2016.01.07 12:00;10.93
2016.01.07 12:00;2016.01.07 13:00;15.13
2016.01.07 13:00;2016.01.07 14:00;15.90
2016.01.07 14:00;2016.01.07 15:00;17.95
2016.01.07 15:00;2016.01.07 16:00;23.16
2016.01.07 16:00;2016.01.07 17:00;21.50
2016.01.07 17:00;2016.01.07 18:00;23.00
2016.01.07 18:00;2016.01.07 19:00;27.65
2016.01.07 19:00;2016.01.07 20:00;27.53
2016.01.07 20:00;2016.01.07 21:00;29.73
2016.01.07 21:00;2016.01.07 22:00;29.12
2016.01.07 22:00;2016.01.07 23:00;31.49
2016.01.07 23:00;2016.01.08 00:00;24.05
2016.01.08 00:00;2016.01.08 01:00;21.24
2016.01.08 01:00;2016.01.08 02:00;20.80
2016.01.08 02:00;2016.01.08 03:00;17.44
2016.01.08 03:00;2016.01.08 04:00;14.60
2016.01.08 04:00;2016.01.08 05:00;12.24
2016.01.08 05:00;2016.01.08 06:00;10.60
2016.01.08 06:00;2016.01.08 07:00;10.52
2016.01.08 07:00;2016.01.08 08:00;12.71
2016.01.08 08:00;2016.01.08 09:00;13.36
2016.01.08 09:00;2016.01.08 10:00;17.88
2016.01.08 10:00;2016.01.08 11:00;16.86
2016.01.08 11:00;2016.01.08 12:00;17.04
2016.01.08 12:00;2016.01.08 13:00;22.41
2016.01.08 13:00;2016.01.08 14:00;23.62
2016.01.08 14:00;2016.01.08 15:00;26.56
2016.01.08 15:00;2016.01.08 16:00;32.37
2016.01.08 16:00;2016.01.08 17:00;43.19
2016.01.08 17:00;2016.01.08 18:00;31.42
2016.01.08 18:00;2016.01.08 19:00;29.31
2016.01.08 19:00;2016.01.08 20:00;30.48
2016.01.08 20:00;2016.01.08 21:00;31.24
2016.01.08 21:00;2016.01.08 22:00;35.24
2016.01.08 22:00;2016.01.08 23:00;33.12
2016.01.08 23:00;2016.01.09 00:00;28.27
2016.01.09 00:00;2016.01.09 01:00;24.17
2016.01.09 01:00;2016.01.09 02:00;22.23
2016.01.09 02:00;2016.01.09 03:00;16.62
2016.01.09 03:00;2016.01.09 04:00;14.31
2016.01.09 04:00;2016.01.09 05:00;11.56
2016.01.09 05:00;2016.01.09 06:00;10.44
2016.01.09 06:00;2016.01.09 07:00;9.55
2016.01.09 07:00;2016.01.09 08:00;11.94
2016.01.09 08:00;2016.01.09 09:00;12.34
2016.01.09 09:00;2016.01.09 10:00;10.68
2016.01.09 10:00;2016.01.09 11:00;14.29
2016.01.09 11:00;2016.01.09 12:00;15.97
2016.01.09 12:00;2016.01.09 13:00;23.58
2016.01.09 13:00;2016.01.09 14:00;31.92
2016.01.09 14:00;2016.01.09 15:00;31.81
2016.01.09 15:00;2016.01.09 16:00;37.91
2016.01.09 16:00;2016.01.09 17:00;40.48
2016.01.09 17:00;2016.01.09 18:00;36.65
2016.01.09 18:00;2016.01.09 19:00;40.15
2016.01.09 19:00;2016.01.09 20:00;39.72
2016.01.09 20:00;2016.01.09 21:00;40.32
2016.01.09 21:00;2016.01.09 22:00;32.32
2016.01.09 22:00;2016.01.09 23:00;34.05
2016.01.09 23:00;2016.01.10 00:00;30.75
2016.01.10 00:00;2016.01.10 01:00;26.18
2016.01.10 01:00;2016.01.10 02:00;20.77
2016.01.10 02:00;2016.01.10 03:00;20.36
2016.01.10 03:00;2016.01.10 04:00;17.16
2016.01.10 04:00;2016.01.10 05:00;13.57
2016.01.10 05:00;2016.01.10 06:00;11.29
2016.01.10 06:00;2016.01.10 07:00;9.22
2016.01.10 07:00;2016.01.10 08:00;8.17
2016.01.10 08:00;2016.01.10 09:00;7.31
2016.01.10 09:00;2016.01.10 10:00;6.01
2016.01.10 10:00;2016.01.10 11:00;7.09
2016.01.10 11:00;2016.01.10 12:00;10.41
2016.01.10 12:00;2016.01.10 13:00;18.86
2016.01.10 13:00;2016.01.10 14:00;16.30
2016.01.10 14:00;2016.01.10 15:00;6.64
2016.01.10 15:00;2016.01.10 16:00;3.58
2016.01.10 16:00;2016.01.10 17:00;3.47
