Fra-tid;Til-tid;Rolland, Åsane | PM2.5 | µg.m³
1.1.2016 0:00;1.1.2016 1:00;11.15
1.1.2016 1:00;1.1.2016 2:00;3.77
1.1.2016 2:00;1.1.2016 3:00;3.57
1.1.2016 3:00;1.1.2016 4:00;3.33
1.1.2016 4:00;1.1.2016 5:00;2.75
1.1.2016 5:00;1.1.2016 6:00;0.34
1.1.2016 6:00;1.1.2016 7:00;0.06
1.1.2016 7:00;1.1.2016 8:00;0.2
1.1.2016 8:00;1.1.2016 9:00;1.54
1.1.2016 9:00;1.1.2016 10:00;3.99
1.1.2016 10:00;1.1.2016 11:00;4.78
1.1.2016 11:00;1.1.2016 12:00;3.86
1.1.2016 12:00;1.1.2016 13:00;4.46
1.1.2016 13:00;1.1.2016 14:00;4.66
1.1.2016 14:00;1.1.2016 15:00;4.77
1.1.2016 15:00;1.1.2016 16:00;5.66
1.1.2016 16:00;1.1.2016 17:00;11.66
1.1.2016 17:00;1.1.2016 18:00;12.55
1.1.2016 18:00;1.1.2016 19:00;8.95
1.1.2016 19:00;1.1.2016 20:00;8.05
1.1.2016 20:00;1.1.2016 21:00;9.03
1.1.2016 21:00;1.1.2016 22:00;7.74
1.1.2016 22:00;1.1.2016 23:00;6.15
1.1.2016 23:00;1.2.2016 0:00;4.69
1.2.2016 0:00;1.2.2016 1:00;2.86
1.2.2016 1:00;1.2.2016 2:00;2.22
1.2.2016 2:00;1.2.2016 3:00;1.83
1.2.2016 3:00;1.2.2016 4:00;1.38
1.2.2016 4:00;1.2.2016 5:00;1.14
1.2.2016 5:00;1.2.2016 6:00;0.94
1.2.2016 6:00;1.2.2016 7:00;0.95
1.2.2016 7:00;1.2.2016 8:00;0.61
1.2.2016 8:00;1.2.2016 9:00;2.21
1.2.2016 9:00;1.2.2016 10:00;2.4
1.2.2016 10:00;1.2.2016 11:00;2.69
1.2.2016 11:00;1.2.2016 12:00;3.06
1.2.2016 12:00;1.2.2016 13:00;2.67
1.2.2016 13:00;1.2.2016 14:00;4.27
1.2.2016 14:00;1.2.2016 15:00;5.89
1.2.2016 15:00;1.2.2016 16:00;2.43
1.2.2016 16:00;1.2.2016 17:00;1.69
1.2.2016 17:00;1.2.2016 18:00;3.21
1.2.2016 18:00;1.2.2016 19:00;2.72
1.2.2016 19:00;1.2.2016 20:00;2.47
1.2.2016 20:00;1.2.2016 21:00;3.03
1.2.2016 21:00;1.2.2016 22:00;2.3
1.2.2016 22:00;1.2.2016 23:00;2.2
1.2.2016 23:00;1.3.2016 0:00;1.88
1.3.2016 0:00;1.3.2016 1:00;2.09
1.3.2016 1:00;1.3.2016 2:00;1.34
1.3.2016 2:00;1.3.2016 3:00;1.24
1.3.2016 3:00;1.3.2016 4:00;1.22
1.3.2016 4:00;1.3.2016 5:00;1.21
1.3.2016 5:00;1.3.2016 6:00;1.17
1.3.2016 6:00;1.3.2016 7:00;1.2
1.3.2016 7:00;1.3.2016 8:00;1.36
1.3.2016 8:00;1.3.2016 9:00;1.74
1.3.2016 9:00;1.3.2016 10:00;1.91
1.3.2016 10:00;1.3.2016 11:00;1.87
1.3.2016 11:00;1.3.2016 12:00;1.86
1.3.2016 12:00;1.3.2016 13:00;3.62
1.3.2016 13:00;1.3.2016 14:00;3.52
1.3.2016 14:00;1.3.2016 15:00;3
1.3.2016 15:00;1.3.2016 16:00;2.25
1.3.2016 16:00;1.3.2016 17:00;8.57
1.3.2016 17:00;1.3.2016 18:00;8.77
1.3.2016 18:00;1.3.2016 19:00;7.27
1.3.2016 19:00;1.3.2016 20:00;5.97
1.3.2016 20:00;1.3.2016 21:00;5.77
1.3.2016 21:00;1.3.2016 22:00;5.34
1.3.2016 22:00;1.3.2016 23:00;5.43
1.3.2016 23:00;1.4.2016 0:00;3.82
1.4.2016 0:00;1.4.2016 1:00;4.03
1.4.2016 1:00;1.4.2016 2:00;2.97
1.4.2016 2:00;1.4.2016 3:00;2.3
1.4.2016 3:00;1.4.2016 4:00;2.22
1.4.2016 4:00;1.4.2016 5:00;2.02
