Telledata: Rådata;;;;;Felt 1;Fra Bjørnsonsgate;;
Utskriftsdato: 27. februar 2017;;;;;Felt 1;Fra Bjørnsonsgate;;;
Tellepunkt: 1201091 - BJØRNSONSGATEN;;;;;;;;
FV 582 Hp: 4 Km: 7030;;;;;;;;
date;time;roadLaneMeasured;numOfVehicles;numOfVehiclesClass1;numOfVehiclesClass2;numOfVehiclesClass3;numOfVehiclesClass4;numOfVehiclesClass5;;
01.01.2016;01:00;1;47;46;0;1;0;0
01.01.2016;02:00;1;74;73;1;0;0;0
01.01.2016;03:00;1;74;72;1;0;0;1
01.01.2016;04:00;1;63;63;0;0;0;0
01.01.2016;05:00;1;56;56;0;0;0;0
01.01.2016;06:00;1;40;39;0;1;0;0
01.01.2016;07:00;1;26;25;0;1;0;0
01.01.2016;08:00;1;15;13;0;2;0;0
01.01.2016;09:00;1;16;15;0;0;1;0
01.01.2016;10:00;1;15;11;1;2;1;0
01.01.2016;11:00;1;16;14;0;2;0;0
01.01.2016;12:00;1;39;38;0;1;0;0
01.01.2016;13:00;1;51;47;1;3;0;0
01.01.2016;14:00;1;76;75;0;1;0;0
01.01.2016;15:00;1;107;100;3;3;1;0
01.01.2016;16:00;1;93;90;0;2;1;0
01.01.2016;17:00;1;96;93;0;2;1;0
01.01.2016;18:00;1;99;95;2;2;0;0
01.01.2016;19:00;1;88;86;0;1;1;0
01.01.2016;20:00;1;74;72;0;2;0;0
01.01.2016;21:00;1;65;64;0;1;0;0
01.01.2016;22:00;1;59;56;0;2;1;0
01.01.2016;23:00;1;46;42;1;2;1;0
01.01.2016;24:00;1;29;28;0;0;1;0
02.01.2016;01:00;1;25;24;1;0;0;0
02.01.2016;02:00;1;21;20;1;0;0;0
02.01.2016;03:00;1;18;17;1;0;0;0
02.01.2016;04:00;1;11;10;0;1;0;0
02.01.2016;05:00;1;3;3;0;0;0;0
02.01.2016;06:00;1;5;5;0;0;0;0
02.01.2016;07:00;1;10;4;1;4;1;0
02.01.2016;08:00;1;27;20;2;3;2;0
02.01.2016;09:00;1;34;29;0;3;2;0
02.01.2016;10:00;1;52;47;0;4;0;1
02.01.2016;11:00;1;71;64;0;3;4;0
02.01.2016;12:00;1;122;112;4;4;2;0
02.01.2016;13:00;1;156;146;3;4;3;0
02.01.2016;14:00;1;161;157;0;3;1;0
02.01.2016;15:00;1;177;171;0;5;1;0
02.01.2016;16:00;1;139;133;1;5;0;0
02.01.2016;17:00;1;126;119;1;5;1;0
02.01.2016;18:00;1;109;101;0;4;3;1
02.01.2016;19:00;1;109;101;2;3;2;1
02.01.2016;20:00;1;103;98;1;2;2;0
02.01.2016;21:00;1;93;89;0;4;0;0
02.01.2016;22:00;1;64;60;0;2;2;0
02.01.2016;23:00;1;47;42;1;3;1;0
02.01.2016;24:00;1;41;37;0;2;2;0
03.01.2016;01:00;1;48;46;0;0;1;1
03.01.2016;02:00;1;28;27;1;0;0;0
03.01.2016;03:00;1;29;29;0;0;0;0
03.01.2016;04:00;1;21;21;0;0;0;0
03.01.2016;05:00;1;14;14;0;0;0;0
03.01.2016;06:00;1;7;7;0;0;0;0
03.01.2016;07:00;1;10;10;0;0;0;0
03.01.2016;08:00;1;22;20;0;2;0;0
03.01.2016;09:00;1;33;28;2;3;0;0
03.01.2016;10:00;1;18;17;0;1;0;0
03.01.2016;11:00;1;50;48;0;2;0;0
03.01.2016;12:00;1;62;61;0;1;0;0
03.01.2016;13:00;1;96;94;0;1;1;0
03.01.2016;14:00;1;136;134;0;2;0;0
03.01.2016;15:00;1;139;135;1;1;2;0
03.01.2016;16:00;1;147;143;1;2;1;0
03.01.2016;17:00;1;149;147;0;2;0;0
03.01.2016;18:00;1;116;113;0;2;1;0
03.01.2016;19:00;1;125;122;2;0;1;0
03.01.2016;20:00;1;113;110;0;2;1;0
03.01.2016;21:00;1;106;105;0;0;1;0
03.01.2016;22:00;1;70;67;0;2;1;0
03.01.2016;23:00;1;43;41;0;0;2;0
03.01.2016;24:00;1;30;28;0;1;1;0
04.01.2016;01:00;1;18;17;1;0;0;0
04.01.2016;02:00;1;19;17;2;0;0;0
04.01.2016;03:00;1;3;3;0;0;0;0
04.01.2016;04:00;1;3;3;0;0;0;0
04.01.2016;05:00;1;11;10;1;0;0;0
04.01.2016;06:00;1;20;14;2;2;2;0
04.01.2016;07:00;1;120;105;2;7;6;0
04.01.2016;08:00;1;394;356;10;17;11;0
04.01.2016;09:00;1;347;312;4;15;12;4
04.01.2016;10:00;1;207;180;5;13;4;5
04.01.2016;11:00;1;182;159;5;10;4;4
04.01.2016;12:00;1;187;166;7;3;7;4
04.01.2016;13:00;1;169;149;7;4;5;4
04.01.2016;14:00;1;202;179;9;8;2;4
04.01.2016;15:00;1;269;239;5;10;10;5
04.01.2016;16:00;1;428;388;9;9;17;5
04.01.2016;17:00;1;321;286;3;16;12;4
04.01.2016;18:00;1;182;159;1;4;12;6
04.01.2016;19:00;1;166;155;3;4;4;0
04.01.2016;20:00;1;140;127;1;10;2;0
04.01.2016;21:00;1;118;110;0;6;2;0
04.01.2016;22:00;1;73;68;1;1;3;0
04.01.2016;23:00;1;74;71;0;2;1;0
04.01.2016;24:00;1;22;18;0;3;1;0
05.01.2016;01:00;1;12;12;0;0;0;0
05.01.2016;02:00;1;21;18;2;1;0;0
05.01.2016;03:00;1;6;5;1;0;0;0
05.01.2016;04:00;1;7;7;0;0;0;0
05.01.2016;05:00;1;5;4;1;0;0;0
05.01.2016;06:00;1;21;16;0;4;1;0
05.01.2016;07:00;1;104;91;0;6;7;0
05.01.2016;08:00;1;384;352;7;15;9;1
05.01.2016;09:00;1;358;330;3;10;12;3
05.01.2016;10:00;1;203;174;10;11;4;4
05.01.2016;11:00;1;179;157;8;7;3;4
05.01.2016;12:00;1;193;174;1;9;5;4
05.01.2016;13:00;1;183;162;6;8;3;4
05.01.2016;14:00;1;217;195;7;8;3;4
05.01.2016;15:00;1;296;260;9;9;13;5
05.01.2016;16:00;1;449;406;7;12;19;5
05.01.2016;17:00;1;284;246;4;7;21;6
05.01.2016;18:00;1;205;183;1;6;10;5
05.01.2016;19:00;1;169;158;2;4;5;0
05.01.2016;20:00;1;143;134;1;4;4;0
05.01.2016;21:00;1;98;93;1;3;1;0
05.01.2016;22:00;1;85;79;0;5;1;0
05.01.2016;23:00;1;47;43;0;4;0;0
05.01.2016;24:00;1;30;27;0;3;0;0
06.01.2016;01:00;1;17;16;0;1;0;0
06.01.2016;02:00;1;16;15;1;0;0;0
06.01.2016;03:00;1;13;11;2;0;0;0
06.01.2016;04:00;1;5;5;0;0;0;0
06.01.2016;05:00;1;8;8;0;0;0;0
06.01.2016;06:00;1;23;19;0;3;1;0
06.01.2016;07:00;1;80;66;2;7;5;0
06.01.2016;08:00;1;312;280;7;14;10;1
06.01.2016;09:00;1;285;253;6;8;14;4
06.01.2016;10:00;1;160;135;8;7;6;4
06.01.2016;11:00;1;118;99;3;7;5;4
06.01.2016;12:00;1;145;125;3;10;3;4
06.01.2016;13:00;1;180;159;9;5;3;4
06.01.2016;14:00;1;192;169;9;6;4;4
06.01.2016;15:00;1;264;231;8;9;12;4
06.01.2016;16:00;1;360;322;6;11;17;4
06.01.2016;17:00;1;240;208;1;10;17;4
06.01.2016;18:00;1;160;134;3;8;10;5
06.01.2016;19:00;1;159;146;1;8;4;0
06.01.2016;20:00;1;129;123;0;3;3;0
06.01.2016;21:00;1;133;125;2;4;2;0
06.01.2016;22:00;1;81;75;0;3;3;0
06.01.2016;23:00;1;64;60;0;3;1;0
06.01.2016;24:00;1;29;26;1;1;1;0
07.01.2016;01:00;1;24;21;1;0;1;1
07.01.2016;02:00;1;25;23;2;0;0;0
07.01.2016;03:00;1;19;16;2;1;0;0
07.01.2016;04:00;1;9;9;0;0;0;0
07.01.2016;05:00;1;10;10;0;0;0;0
07.01.2016;06:00;1;26;21;1;4;0;0
07.01.2016;07:00;1;84;71;1;6;6;0
07.01.2016;08:00;1;299;262;8;19;9;1
07.01.2016;09:00;1;271;236;7;10;14;4
07.01.2016;10:00;1;152;128;6;8;6;4
07.01.2016;11:00;1;138;120;3;8;2;5
07.01.2016;12:00;1;151;128;6;10;3;4
07.01.2016;13:00;1;175;162;3;4;2;4
07.01.2016;14:00;1;179;158;8;5;4;4
07.01.2016;15:00;1;252;218;5;16;6;7
07.01.2016;16:00;1;397;357;8;8;20;4
07.01.2016;17:00;1;257;220;3;11;18;5
07.01.2016;18:00;1;182;161;1;5;10;5
07.01.2016;19:00;1;151;141;2;6;2;0
07.01.2016;20:00;1;134;124;2;7;1;0
