Telledata: Rådata;;;;;Felt 1 og 3;Fra Festplassen;;;
Utskriftsdato: 27. februar 2017;;;;;Felt 1 og 3;Fra Festplassen;;;
Tellepunkt: 1200703 - CHRISTIESGT;;;;;;;;
EV 16 Hp: 15 Km: 1509;;;;;;;;
date;time;roadLaneMeasured;numOfVehicles;numOfVehiclesClass1;numOfVehiclesClass2;numOfVehiclesClass3;numOfVehiclesClass4;numOfVehiclesClass5;;
01.01.2016;01:00;1;231;217;2;5;5;2
01.01.2016;01:00;3;163;141;4;8;7;2
01.01.2016;02:00;1;216;210;1;2;3;0
01.01.2016;02:00;3;162;145;2;6;6;2
01.01.2016;03:00;1;207;198;0;6;1;1
01.01.2016;03:00;3;159;140;0;6;10;3
01.01.2016;04:00;1;154;152;0;0;1;1
01.01.2016;04:00;3;123;117;1;1;4;0
01.01.2016;05:00;1;101;98;1;1;1;0
01.01.2016;05:00;3;101;98;1;0;2;0
01.01.2016;06:00;1;54;53;1;0;0;0
01.01.2016;06:00;3;87;82;3;0;2;0
01.01.2016;07:00;1;40;38;0;1;1;0
01.01.2016;07:00;3;77;63;2;3;8;1
01.01.2016;08:00;1;36;32;0;2;2;0
01.01.2016;08:00;3;47;29;1;4;10;3
01.01.2016;09:00;1;15;12;0;0;2;1
01.01.2016;09:00;3;45;23;0;8;11;3
01.01.2016;10:00;1;32;27;1;1;2;1
01.01.2016;10:00;3;50;23;1;5;18;3
01.01.2016;11:00;1;46;42;0;1;2;1
01.01.2016;11:00;3;49;19;0;8;19;3
01.01.2016;12:00;1;70;63;0;3;3;1
01.01.2016;12:00;3;59;28;2;11;13;5
01.01.2016;13:00;1;144;136;3;2;2;1
01.01.2016;13:00;3;85;50;2;13;16;4
01.01.2016;14:00;1;194;187;0;3;3;1
01.01.2016;14:00;3;91;56;1;11;19;4
01.01.2016;15:00;1;287;279;2;3;2;1
01.01.2016;15:00;3;105;73;0;13;15;4
01.01.2016;16:00;1;270;261;3;3;3;0
01.01.2016;16:00;3;115;75;5;13;16;6
01.01.2016;17:00;1;229;225;0;2;1;1
01.01.2016;17:00;3;119;81;1;13;20;3
01.01.2016;18:00;1;241;230;2;3;5;1
01.01.2016;18:00;3;110;77;1;11;16;5
01.01.2016;19:00;1;182;174;1;2;4;1
01.01.2016;19:00;3;89;59;0;12;14;4
01.01.2016;20:00;1;175;167;1;3;3;1
01.01.2016;20:00;3;82;48;0;8;22;4
01.01.2016;21:00;1;217;207;1;2;6;1
01.01.2016;21:00;3;84;55;0;7;18;3
01.01.2016;22:00;1;146;138;0;5;2;1
01.01.2016;22:00;3;94;64;0;10;17;3
01.01.2016;23:00;1;118;108;2;4;3;1
01.01.2016;23:00;3;82;57;0;11;11;3
01.01.2016;24:00;1;125;116;0;1;7;1
01.01.2016;24:00;3;87;67;1;8;8;3
02.01.2016;01:00;1;91;87;0;1;2;1
02.01.2016;01:00;3;73;62;1;1;7;2
02.01.2016;02:00;1;59;59;0;0;0;0
02.01.2016;02:00;3;55;52;1;0;1;0
02.01.2016;03:00;1;50;50;0;0;0;0
02.01.2016;03:00;3;38;37;0;0;1;0
02.01.2016;04:00;1;31;30;1;0;0;0
02.01.2016;04:00;3;28;27;0;0;1;0
02.01.2016;05:00;1;31;29;1;0;1;0
02.01.2016;05:00;3;22;17;2;1;2;0
02.01.2016;06:00;1;15;13;1;1;0;0
02.01.2016;06:00;3;19;13;0;2;4;0
02.01.2016;07:00;1;38;25;3;5;4;1
02.01.2016;07:00;3;41;15;0;10;12;4
02.01.2016;08:00;1;53;33;4;9;4;2
02.01.2016;08:00;3;55;17;1;12;21;4
02.01.2016;09:00;1;58;43;1;6;6;2
02.01.2016;09:00;3;52;17;0;11;18;6
