Telledata: Rådata;;;;;Felt 1,3,5;Fra Fjøsanger;;
Utskriftsdato: 27. februar 2017;;;;;Felt 2,4,6;Fra Danmarksplass;;
Tellepunkt: 1200089 - DANMARKSPLASS SØR;;;;;;;;
EV 39 Hp: 18 Km: 2840;;;;;;;;
date;time;roadLaneMeasured;numOfVehicles;numOfVehiclesClass1;numOfVehiclesClass2;numOfVehiclesClass3;numOfVehiclesClass4;numOfVehiclesClass5;;
01.01.2016;01:00;1;73;70;2;0;1;0
01.01.2016;01:00;2;50;50;0;0;0;0
01.01.2016;01:00;3;154;153;0;0;0;1
01.01.2016;01:00;4;295;290;3;2;0;0
01.01.2016;01:00;5;47;46;0;1;0;0
01.01.2016;01:00;6;179;174;0;1;4;0
01.01.2016;02:00;1;117;117;0;0;0;0
01.01.2016;02:00;2;43;43;0;0;0;0
01.01.2016;02:00;3;273;267;2;1;1;2
01.01.2016;02:00;4;281;280;1;0;0;0
01.01.2016;02:00;5;74;73;1;0;0;0
01.01.2016;02:00;6;186;184;1;0;1;0
01.01.2016;03:00;1;98;96;0;0;2;0
01.01.2016;03:00;2;34;34;0;0;0;0
01.01.2016;03:00;3;233;231;1;0;1;0
01.01.2016;03:00;4;227;223;4;0;0;0
01.01.2016;03:00;5;74;72;1;0;0;1
01.01.2016;03:00;6;160;159;0;0;1;0
01.01.2016;04:00;1;92;92;0;0;0;0
01.01.2016;04:00;2;36;36;0;0;0;0
01.01.2016;04:00;3;169;168;0;0;0;1
01.01.2016;04:00;4;169;168;1;0;0;0
01.01.2016;04:00;5;63;63;0;0;0;0
01.01.2016;04:00;6;116;114;0;0;2;0
01.01.2016;05:00;1;71;68;2;1;0;0
01.01.2016;05:00;2;20;20;0;0;0;0
01.01.2016;05:00;3;123;123;0;0;0;0
01.01.2016;05:00;4;127;126;1;0;0;0
01.01.2016;05:00;5;56;56;0;0;0;0
01.01.2016;05:00;6;82;80;2;0;0;0
01.01.2016;06:00;1;47;47;0;0;0;0
01.01.2016;06:00;2;21;21;0;0;0;0
01.01.2016;06:00;3;78;76;0;1;1;0
