Telledata: Rådata;;;;;Felt 1 og 3;Til og fra Nyborg;;
Utskriftsdato: 27. februar 2017;;;;;Felt 1;E39HP87RAMPE43000;;
Tellepunkt: 1200147 - E39HP87RAMPE14+43000;;;;;Felt 3;E39HP87RAMPE14000;;
EV 39 Hp: 20 Km: 4552;;;;;;;;
date;time;roadLaneMeasured;numOfVehicles;numOfVehiclesClass1;numOfVehiclesClass2;numOfVehiclesClass3;numOfVehiclesClass4;numOfVehiclesClass5;;
01.01.2016;01:00;1;109;109;0;0;0;0
01.01.2016;01:00;3;31;30;0;0;0;1
01.01.2016;02:00;1;144;144;0;0;0;0
01.01.2016;02:00;3;30;30;0;0;0;0
01.01.2016;03:00;1;118;114;3;0;1;0
01.01.2016;03:00;3;25;24;0;0;0;1
01.01.2016;04:00;1;105;104;1;0;0;0
01.01.2016;04:00;3;13;12;0;0;0;1
01.01.2016;05:00;1;65;64;1;0;0;0
01.01.2016;05:00;3;16;16;0;0;0;0
01.01.2016;06:00;1;38;37;1;0;0;0
01.01.2016;06:00;3;7;7;0;0;0;0
01.01.2016;07:00;1;17;17;0;0;0;0
01.01.2016;07:00;3;6;6;0;0;0;0
01.01.2016;08:00;1;27;26;1;0;0;0
01.01.2016;08:00;3;7;6;0;0;1;0
01.01.2016;09:00;1;15;13;1;0;1;0
01.01.2016;09:00;3;6;5;0;1;0;0
01.01.2016;10:00;1;14;13;0;1;0;0
01.01.2016;10:00;3;6;6;0;0;0;0
01.01.2016;11:00;1;25;24;0;0;0;1
01.01.2016;11:00;3;13;13;0;0;0;0
01.01.2016;12:00;1;49;49;0;0;0;0
01.01.2016;12:00;3;29;29;0;0;0;0
01.01.2016;13:00;1;86;84;1;0;0;1
01.01.2016;13:00;3;38;38;0;0;0;0
01.01.2016;14:00;1;151;150;1;0;0;0
01.01.2016;14:00;3;62;59;2;1;0;0
01.01.2016;15:00;1;169;169;0;0;0;0
01.01.2016;15:00;3;92;87;2;1;0;2
01.01.2016;16:00;1;204;204;0;0;0;0
01.01.2016;16:00;3;106;103;2;1;0;0
01.01.2016;17:00;1;176;175;0;1;0;0
01.01.2016;17:00;3;101;99;1;1;0;0
01.01.2016;18:00;1;190;187;1;2;0;0
01.01.2016;18:00;3;80;78;1;0;0;1
01.01.2016;19:00;1;162;159;2;0;1;0
01.01.2016;19:00;3;76;73;1;1;0;1
01.01.2016;20:00;1;139;138;0;1;0;0
01.01.2016;20:00;3;46;43;0;0;2;1
01.01.2016;21:00;1;103;100;2;1;0;0
01.01.2016;21:00;3;44;43;0;0;0;1
01.01.2016;22:00;1;103;102;1;0;0;0
01.01.2016;22:00;3;34;33;0;0;0;1
01.01.2016;23:00;1;88;87;0;0;1;0
01.01.2016;23:00;3;24;23;0;1;0;0
01.01.2016;24:00;1;68;66;0;1;0;1
01.01.2016;24:00;3;20;20;0;0;0;0
02.01.2016;01:00;1;46;46;0;0;0;0
02.01.2016;01:00;3;13;10;0;0;0;3
