Telledata: Rådata;;;;;Felt 2 og 4;Til og fra Nyborg;;
Utskriftsdato: 27. februar 2017;;;;;Felt 2;E39HP87RAMPE34000;;
Tellepunkt: 1200148 - E39HP87RAMPE34+41000;;;;;Felt 4;E39HP87RAMPE41000;;
EV 39 Hp: 20 Km: 4535;;;;;;;;
date;time;roadLaneMeasured;numOfVehicles;numOfVehiclesClass1;numOfVehiclesClass2;numOfVehiclesClass3;numOfVehiclesClass4;numOfVehiclesClass5;;
01.01.2016;01:00;2;18;18;0;0;0;0
01.01.2016;01:00;4;88;87;0;0;0;1
01.01.2016;02:00;2;25;25;0;0;0;0
01.01.2016;02:00;4;138;137;0;0;0;1
01.01.2016;03:00;2;32;32;0;0;0;0
01.01.2016;03:00;4;116;114;0;0;1;1
01.01.2016;04:00;2;14;14;0;0;0;0
01.01.2016;04:00;4;86;84;1;0;0;1
01.01.2016;05:00;2;10;10;0;0;0;0
01.01.2016;05:00;4;50;50;0;0;0;0
01.01.2016;06:00;2;10;8;0;0;0;2
01.01.2016;06:00;4;49;48;1;0;0;0
01.01.2016;07:00;2;8;6;0;1;0;1
01.01.2016;07:00;4;33;31;1;1;0;0
01.01.2016;08:00;2;11;10;0;0;0;1
01.01.2016;08:00;4;39;39;0;0;0;0
01.01.2016;09:00;2;1;1;0;0;0;0
01.01.2016;09:00;4;18;18;0;0;0;0
01.01.2016;10:00;2;7;6;0;0;0;1
01.01.2016;10:00;4;21;21;0;0;0;0
01.01.2016;11:00;2;11;10;1;0;0;0
01.01.2016;11:00;4;29;29;0;0;0;0
01.01.2016;12:00;2;24;23;0;0;0;1
01.01.2016;12:00;4;76;75;0;1;0;0
01.01.2016;13:00;2;36;36;0;0;0;0
01.01.2016;13:00;4;134;131;1;0;0;2
01.01.2016;14:00;2;59;58;0;1;0;0
01.01.2016;14:00;4;154;152;1;0;0;1
01.01.2016;15:00;2;94;92;1;1;0;0
01.01.2016;15:00;4;229;224;1;2;0;2
01.01.2016;16:00;2;96;94;0;2;0;0
01.01.2016;16:00;4;196;192;1;2;0;1
01.01.2016;17:00;2;88;87;0;1;0;0
01.01.2016;17:00;4;210;206;0;0;1;3
01.01.2016;18:00;2;72;69;0;2;0;1
01.01.2016;18:00;4;192;189;1;1;0;1
01.01.2016;19:00;2;56;54;0;1;0;1
01.01.2016;19:00;4;160;157;0;1;0;2
01.01.2016;20:00;2;73;70;0;2;0;1
01.01.2016;20:00;4;151;147;1;1;0;2
01.01.2016;21:00;2;43;42;0;0;0;1
01.01.2016;21:00;4;125;124;1;0;0;0
