Telledata: Rådata;;;;;Felt 1;Fra Loddefjord;;
Utskriftsdato: 27. februar 2017;;;;;Felt 2;Håkonsvern;;
Tellepunkt: 1203221 - HÅKONSVERNVEIEN;;;;;;;;
FV 558 Hp: 1 Km: 900;;;;;;;;
date;time;roadLaneMeasured;numOfVehicles;numOfVehiclesClass1;numOfVehiclesClass2;numOfVehiclesClass3;numOfVehiclesClass4;numOfVehiclesClass5;;
01.01.2016;01:00;1;144;141;0;0;3;0
01.01.2016;01:00;2;128;123;1;1;3;0
01.01.2016;02:00;1;208;203;1;0;2;2
01.01.2016;02:00;2;166;164;2;0;0;0
01.01.2016;03:00;1;169;164;1;0;3;1
01.01.2016;03:00;2;147;141;1;1;2;2
01.01.2016;04:00;1;128;124;2;0;2;0
01.01.2016;04:00;2;114;111;1;1;1;0
01.01.2016;05:00;1;95;93;2;0;0;0
01.01.2016;05:00;2;92;91;1;0;0;0
01.01.2016;06:00;1;64;61;2;0;1;0
01.01.2016;06:00;2;55;54;1;0;0;0
01.01.2016;07:00;1;52;46;4;0;2;0
01.01.2016;07:00;2;59;56;0;2;1;0
01.01.2016;08:00;1;46;43;0;0;3;0
01.01.2016;08:00;2;55;52;1;1;1;0
01.01.2016;09:00;1;29;28;0;0;1;0
01.01.2016;09:00;2;23;21;0;1;1;0
01.01.2016;10:00;1;23;20;0;0;3;0
01.01.2016;10:00;2;32;30;0;1;1;0
01.01.2016;11:00;1;25;22;0;1;2;0
01.01.2016;11:00;2;47;43;1;2;1;0
01.01.2016;12:00;1;59;55;0;0;4;0
01.01.2016;12:00;2;107;102;0;1;4;0
01.01.2016;13:00;1;120;117;0;0;3;0
01.01.2016;13:00;2;178;174;0;0;4;0
01.01.2016;14:00;1;191;184;1;1;4;1
01.01.2016;14:00;2;213;205;2;0;4;2
01.01.2016;15:00;1;239;230;5;0;4;0
01.01.2016;15:00;2;260;250;2;0;4;4
01.01.2016;16:00;1;327;317;2;1;5;2
01.01.2016;16:00;2;258;252;0;0;3;3
01.01.2016;17:00;1;276;266;0;2;5;3
01.01.2016;17:00;2;259;249;2;1;4;3
01.01.2016;18:00;1;275;266;1;1;4;3
01.01.2016;18:00;2;300;295;1;1;3;0
01.01.2016;19:00;1;248;239;1;1;5;2
01.01.2016;19:00;2;215;208;0;4;3;0
01.01.2016;20:00;1;251;244;2;0;4;1
01.01.2016;20:00;2;206;200;2;1;2;1
01.01.2016;21:00;1;183;173;2;3;4;1
01.01.2016;21:00;2;185;180;0;3;2;0
01.01.2016;22:00;1;158;151;1;1;5;0
01.01.2016;22:00;2;154;150;1;1;2;0
01.01.2016;23:00;1;158;153;1;0;4;0
01.01.2016;23:00;2;108;105;0;0;3;0
01.01.2016;24:00;1;103;99;1;1;2;0
01.01.2016;24:00;2;71;68;0;1;2;0
02.01.2016;01:00;1;64;62;0;0;2;0
02.01.2016;01:00;2;54;50;1;1;2;0
02.01.2016;02:00;1;39;39;0;0;0;0
02.01.2016;02:00;2;20;20;0;0;0;0
02.01.2016;03:00;1;22;22;0;0;0;0
02.01.2016;03:00;2;19;17;1;1;0;0
02.01.2016;04:00;1;18;18;0;0;0;0
02.01.2016;04:00;2;12;12;0;0;0;0
02.01.2016;05:00;1;17;16;0;1;0;0
02.01.2016;05:00;2;25;24;0;1;0;0
02.01.2016;06:00;1;13;12;0;0;1;0
02.01.2016;06:00;2;18;17;0;0;1;0
02.01.2016;07:00;1;22;15;1;1;5;0
02.01.2016;07:00;2;55;49;1;2;3;0
02.01.2016;08:00;1;53;48;1;1;3;0
02.01.2016;08:00;2;64;59;0;0;5;0
02.01.2016;09:00;1;61;56;0;1;4;0
02.01.2016;09:00;2;69;60;1;2;6;0
02.01.2016;10:00;1;111;102;3;2;4;0
02.01.2016;10:00;2;146;135;3;4;4;0
02.01.2016;11:00;1;142;134;1;3;4;0
02.01.2016;11:00;2;243;236;0;3;4;0
02.01.2016;12:00;1;257;247;1;4;5;0
02.01.2016;12:00;2;387;374;1;4;5;3
02.01.2016;13:00;1;371;362;1;1;6;1
02.01.2016;13:00;2;447;430;2;4;6;5
02.01.2016;14:00;1;412;397;3;3;5;4
02.01.2016;14:00;2;413;393;3;3;8;6
02.01.2016;15:00;1;506;491;1;8;5;1
02.01.2016;15:00;2;478;455;4;5;9;5
02.01.2016;16:00;1;515;494;2;8;6;5
02.01.2016;16:00;2;393;381;1;3;7;1
02.01.2016;17:00;1;458;446;2;4;5;1
02.01.2016;17:00;2;373;362;1;3;3;4
02.01.2016;18:00;1;429;413;3;3;7;3
02.01.2016;18:00;2;301;289;0;3;5;4
02.01.2016;19:00;1;415;406;1;0;5;3
02.01.2016;19:00;2;307;297;2;2;3;3
02.01.2016;20:00;1;241;234;2;0;5;0
02.01.2016;20:00;2;231;223;2;3;3;0
02.01.2016;21:00;1;202;195;1;0;5;1
02.01.2016;21:00;2;177;170;1;1;4;1
02.01.2016;22:00;1;146;141;0;1;4;0
02.01.2016;22:00;2;136;131;1;2;2;0
02.01.2016;23:00;1;119;112;2;1;4;0
02.01.2016;23:00;2;106;99;1;3;3;0
02.01.2016;24:00;1;135;128;1;0;5;1
02.01.2016;24:00;2;106;100;1;1;4;0
03.01.2016;01:00;1;85;81;1;0;3;0
03.01.2016;01:00;2;70;65;0;2;2;1
03.01.2016;02:00;1;60;59;0;0;1;0
03.01.2016;02:00;2;54;54;0;0;0;0
03.01.2016;03:00;1;60;57;0;0;3;0
03.01.2016;03:00;2;61;58;0;2;1;0
03.01.2016;04:00;1;55;53;0;1;1;0
03.01.2016;04:00;2;48;46;0;1;1;0
03.01.2016;05:00;1;37;37;0;0;0;0
03.01.2016;05:00;2;26;26;0;0;0;0
03.01.2016;06:00;1;20;18;0;1;1;0
03.01.2016;06:00;2;15;15;0;0;0;0
03.01.2016;07:00;1;24;22;0;0;2;0
03.01.2016;07:00;2;40;37;0;0;3;0
03.01.2016;08:00;1;31;28;1;0;2;0
03.01.2016;08:00;2;56;54;1;1;0;0
03.01.2016;09:00;1;63;61;1;0;0;1
03.01.2016;09:00;2;65;63;0;1;1;0
03.01.2016;10:00;1;81;77;1;0;3;0
