Telledata: Rådata;;;;;Felt 1,3;Fra Åsane Senter;;;
Utskriftsdato: 27. februar 2017;;;;;Felt 2,4,6;Til Åsane Senter;;;
Tellepunkt: 1204350 - ÅSAMYRENE FV267;;;;;;;;
FV 267 Hp: 2 Km: 4660;;;;;;;;
date;time;roadLaneMeasured;numOfVehicles;numOfVehiclesClass1;numOfVehiclesClass2;numOfVehiclesClass3;numOfVehiclesClass4;numOfVehiclesClass5;;
27.06.2016;01:00;1;17;15;1;1;0;0
27.06.2016;01:00;2;12;9;2;0;0;1
27.06.2016;01:00;3;14;9;0;1;2;2
27.06.2016;01:00;4;9;9;0;0;0;0
27.06.2016;01:00;6;1;0;0;0;0;1
27.06.2016;02:00;1;7;7;0;0;0;0
27.06.2016;02:00;2;4;4;0;0;0;0
27.06.2016;02:00;3;10;10;0;0;0;0
27.06.2016;02:00;4;7;7;0;0;0;0
27.06.2016;02:00;6;0;0;0;0;0;0
27.06.2016;03:00;1;0;0;0;0;0;0
27.06.2016;03:00;2;2;2;0;0;0;0
27.06.2016;03:00;3;2;1;1;0;0;0
27.06.2016;03:00;4;2;2;0;0;0;0
27.06.2016;03:00;6;0;0;0;0;0;0
27.06.2016;04:00;1;1;1;0;0;0;0
27.06.2016;04:00;2;1;1;0;0;0;0
27.06.2016;04:00;3;4;2;1;1;0;0
27.06.2016;04:00;4;1;0;0;1;0;0
27.06.2016;04:00;6;1;1;0;0;0;0
27.06.2016;05:00;1;8;6;0;0;1;1
27.06.2016;05:00;2;3;3;0;0;0;0
27.06.2016;05:00;3;2;2;0;0;0;0
27.06.2016;05:00;4;2;2;0;0;0;0
27.06.2016;05:00;6;0;0;0;0;0;0
27.06.2016;06:00;1;5;4;1;0;0;0
27.06.2016;06:00;2;16;10;1;2;1;2
27.06.2016;06:00;3;7;5;0;2;0;0
27.06.2016;06:00;4;12;9;1;2;0;0
27.06.2016;06:00;6;0;0;0;0;0;0
27.06.2016;07:00;1;45;39;3;3;0;0
27.06.2016;07:00;2;68;59;2;5;2;0
27.06.2016;07:00;3;49;37;2;3;6;1
27.06.2016;07:00;4;45;37;2;4;0;2
27.06.2016;07:00;6;9;1;0;1;5;2
27.06.2016;08:00;1;71;63;3;4;0;1
27.06.2016;08:00;2;162;151;6;3;2;0
27.06.2016;08:00;3;103;68;8;16;7;4
27.06.2016;08:00;4;158;130;8;15;3;2
27.06.2016;08:00;6;13;1;0;2;7;3
27.06.2016;09:00;1;70;60;6;4;0;0
27.06.2016;09:00;2;114;103;3;5;2;1
27.06.2016;09:00;3;112;82;4;14;8;4
27.06.2016;09:00;4;188;154;11;16;5;2
27.06.2016;09:00;6;11;2;0;3;3;3
27.06.2016;10:00;1;82;68;6;8;0;0
27.06.2016;10:00;2;111;96;5;6;3;1
27.06.2016;10:00;3;168;136;6;17;5;4
27.06.2016;10:00;4;230;208;8;13;1;0
27.06.2016;10:00;6;9;3;0;1;3;2
27.06.2016;11:00;1;107;96;2;8;1;0
27.06.2016;11:00;2;132;126;2;3;0;1
27.06.2016;11:00;3;250;218;11;15;3;3
27.06.2016;11:00;4;351;321;9;18;2;1
27.06.2016;11:00;6;11;0;0;2;4;5
27.06.2016;12:00;1;141;128;4;8;1;0
27.06.2016;12:00;2;165;157;5;2;1;0
27.06.2016;12:00;3;405;374;8;11;5;7
27.06.2016;12:00;4;417;397;7;13;0;0
27.06.2016;12:00;6;12;0;0;2;4;6
27.06.2016;13:00;1;157;147;3;5;1;1
27.06.2016;13:00;2;161;150;3;7;0;1
27.06.2016;13:00;3;440;402;7;18;5;8
27.06.2016;13:00;4;513;490;7;15;0;1
27.06.2016;13:00;6;12;1;0;2;6;3
27.06.2016;14:00;1;191;175;6;9;1;0
27.06.2016;14:00;2;219;205;7;5;2;0
27.06.2016;14:00;3;477;440;12;13;6;6
27.06.2016;14:00;4;493;471;7;15;0;0
27.06.2016;14:00;6;13;0;0;2;6;5
27.06.2016;15:00;1;201;184;7;9;1;0
27.06.2016;15:00;2;162;150;5;7;0;0
27.06.2016;15:00;3;538;501;11;13;7;6
27.06.2016;15:00;4;482;460;9;9;2;2
27.06.2016;15:00;6;11;0;0;0;6;5
27.06.2016;16:00;1;317;301;6;8;1;1
27.06.2016;16:00;2;205;194;5;2;2;2
27.06.2016;16:00;3;594;562;9;8;8;7
27.06.2016;16:00;4;426;406;11;8;0;1
27.06.2016;16:00;6;15;1;0;2;6;6
27.06.2016;17:00;1;290;282;2;3;2;1
27.06.2016;17:00;2;165;157;5;2;1;0
27.06.2016;17:00;3;536;504;9;9;8;6
27.06.2016;17:00;4;459;445;6;6;2;0
27.06.2016;17:00;6;14;1;0;3;5;5
27.06.2016;18:00;1;189;180;2;5;2;0
27.06.2016;18:00;2;174;162;2;8;2;0
27.06.2016;18:00;3;485;456;6;10;8;5
27.06.2016;18:00;4;467;452;8;4;3;0
27.06.2016;18:00;6;10;0;0;1;4;5
27.06.2016;19:00;1;156;149;3;3;1;0
27.06.2016;19:00;2;137;127;3;4;3;0
27.06.2016;19:00;3;462;445;2;3;4;8
27.06.2016;19:00;4;417;406;6;4;1;0
27.06.2016;19:00;6;7;3;0;0;1;3
27.06.2016;20:00;1;128;117;4;5;2;0
27.06.2016;20:00;2;114;107;2;4;1;0
27.06.2016;20:00;3;379;365;3;2;4;5
27.06.2016;20:00;4;311;302;3;3;2;1
27.06.2016;20:00;6;5;0;0;1;1;3
27.06.2016;21:00;1;147;140;4;1;2;0
27.06.2016;21:00;2;83;81;1;1;0;0
27.06.2016;21:00;3;304;287;4;6;3;4
27.06.2016;21:00;4;209;198;3;6;2;0
27.06.2016;21:00;6;6;1;0;0;2;3
27.06.2016;22:00;1;76;74;1;1;0;0
27.06.2016;22:00;2;45;44;0;0;1;0
27.06.2016;22:00;3;190;183;0;1;3;3
27.06.2016;22:00;4;75;69;1;2;3;0
27.06.2016;22:00;6;4;0;0;0;1;3
27.06.2016;23:00;1;41;37;1;3;0;0
27.06.2016;23:00;2;35;31;1;0;2;1
27.06.2016;23:00;3;79;72;0;3;1;3
27.06.2016;23:00;4;35;32;0;2;1;0
27.06.2016;23:00;6;3;2;0;0;0;1
27.06.2016;24:00;1;34;33;0;0;1;0
27.06.2016;24:00;2;21;19;0;0;2;0
27.06.2016;24:00;3;48;41;0;2;2;3
27.06.2016;24:00;4;14;11;0;0;1;2
27.06.2016;24:00;6;2;1;0;0;0;1
28.06.2016;01:00;1;17;15;0;1;1;0
28.06.2016;01:00;2;7;6;0;1;0;0
28.06.2016;01:00;3;18;12;0;0;3;3
28.06.2016;01:00;4;9;9;0;0;0;0
28.06.2016;01:00;6;1;0;0;0;0;1
28.06.2016;02:00;1;10;10;0;0;0;0
28.06.2016;02:00;2;4;4;0;0;0;0
28.06.2016;02:00;3;14;11;1;0;0;2
28.06.2016;02:00;4;4;4;0;0;0;0
28.06.2016;02:00;6;0;0;0;0;0;0
28.06.2016;03:00;1;2;2;0;0;0;0
28.06.2016;03:00;2;1;1;0;0;0;0
28.06.2016;03:00;3;7;6;1;0;0;0
28.06.2016;03:00;4;3;3;0;0;0;0
28.06.2016;03:00;6;0;0;0;0;0;0
28.06.2016;04:00;1;2;2;0;0;0;0
28.06.2016;04:00;2;1;1;0;0;0;0
28.06.2016;04:00;3;7;3;1;1;0;2
