OBSERVASJONER - TIMEDATA;;;;;;;
;;;;;;;
Stasjoner;;;;;;;
StationNr;Name;InServiceSince;InServiceUntil;MetersAboveSeaLevel;Principality;County;RegionOrCountry
50480;BERGEN - SANDSLI;jul.83;;45;Bergen;Hordaland;VESTLANDET
50500;FLESLAND;okt.55;;48;Bergen;Hordaland;VESTLANDET
50503;SÆDALEN;nov.04;;215;Bergen;Hordaland;NORGE
50540;BERGEN - FLORIDA;nov.49;;12;Bergen;Hordaland;VESTLANDET
50570;SKREDDERDALEN;aug.16;;175;Bergen;Hordaland;NORGE
50865;GULLFJELLET;aug.16;;345;Bergen;Hordaland;NORGE
;;;;;;;
Elementer;;;;;;;
Kode;Navn;Enhet;;;;;
DD;Vindretning (FF);grader;;;;;
FF;Vindhastighet (10 meter over bakken);m/s;;;;;
RR_1;Nedbør (1 time);mm;;;;;
SA;Snødybde;cm;;;;;
TA;Lufttemperatur;Celcius;;;;;
WAWA;Været ved observasjonstida;kode;;;;;
;;;;;;;
;;;;;;;
Norsk Normaltid (NMT, Norwegian Mean Time) er det samme som sentraleuropeisk tid, tidssonen som ligger en time før UTC, og skrives dermed gjerne UTC+1. Det taes ikke hensyn til sommertid. NMT angir døgnets timer fra 01 til 24.;;;;;;;
****************** MELDING *****************;;;;;;;
50480 Ingen data for FF, DD, WAWA, SA;;;;;;;
********************************************;;;;;;;
****************** MELDING *****************;;;;;;;
50500 Ingen data for SA;;;;;;;
********************************************;;;;;;;
****************** MELDING *****************;;;;;;;
50503 Ingen data for FF, DD, TA, WAWA, SA;;;;;;;
********************************************;;;;;;;
****************** MELDING *****************;;;;;;;
50540 Ingen data for WAWA;;;;;;;
********************************************;;;;;;;
****************** MELDING *****************;;;;;;;
50570 Ingen data for WAWA, SA;;;;;;;
********************************************;;;;;;;
****************** MELDING *****************;;;;;;;
50865 Ingen data for WAWA, SA;;;;;;;
********************************************;;;;;;;
****************** MELDING *****************;;;;;;;
Ingen data for: 50503, 50540, 50540, 50540, 50540, 50540, 50540, 50540, 50540, 50540, 50540, 50540, 50570;;;;;;;
********************************************;;;;;;;
;;;;;;;
****************** MELDING *****************;;;;;;;
Dataverdi merket x betyr at kvaliteten er 'Svært usikker' (Nivå 5 eller mer).;;;;;;;
********************************************;;;;;;;
;;;;;;;
measuredByStation;dateTime;precipitationInMM;windSpeed10MAboveGround;windDirectionDegrees;airTemperatureCelsius;observedWeatherWAWACode;snowDepthCM
50540;01.05.2016-00:00;0;1,8;135;5,6; ; 
50540;01.05.2016-01:00;0;2,8;143;5,4; ; 
50540;01.05.2016-02:00;0;3,9;163;5,9; ; 
50540;01.05.2016-03:00;0;2,7;141;5,8; ; 
50540;01.05.2016-04:00;0;2,7;162;5,2; ; 
50540;01.05.2016-05:00;0;4;159;4,9; ; 
50540;01.05.2016-06:00;0;4,2;160;5,4; ; 
50540;01.05.2016-07:00;0;5,1;158;6,1; ; 
50540;01.05.2016-08:00;0,9;3,4;135;5,3; ; 
50540;01.05.2016-09:00;0;5,9;143;8,4; ; 
50540;01.05.2016-10:00;0;6,3;153;8,2; ; 
50540;01.05.2016-11:00;0;7,6;150;8,4; ; 
50540;01.05.2016-12:00;0;8,9;157;9,1; ; 
50540;01.05.2016-13:00;0;8,2;146;9,1; ; 
50540;01.05.2016-14:00;0;7,9;161;9,4; ; 
50540;01.05.2016-15:00;0;10,9;172;9,2; ; 
50540;01.05.2016-16:00;0,1;11,5;169;7,8; ; 
50540;01.05.2016-17:00;0,1;6,6;152;8,1; ; 
50540;01.05.2016-18:00;0;6,9;166;8,4; ; 
50540;01.05.2016-19:00;0;9,5;175;8; ; 
50540;01.05.2016-20:00;0,1;7,9;162;7,4; ; 
50540;01.05.2016-21:00;0,1;8,1;156;7; ; 
50540;01.05.2016-22:00;0,1;6,9;141;6,6; ; 
50540;01.05.2016-23:00;0;7,8;144;7; ; 
50540;02.05.2016-00:00;0;7,2;146;6,8; ; 
50540;02.05.2016-01:00;0;7,7;147;6,8; ; 
50540;02.05.2016-02:00;0,1;7,1;154;6,9; ; 
50540;02.05.2016-03:00;0,1;7,9;145;7; ; 
50540;02.05.2016-04:00;0,4;8,5;159;6,6; ; 
50540;02.05.2016-05:00;0,8;7,3;154;6,8; ; 
50540;02.05.2016-06:00;0,9;7;156;7; ; 
50540;02.05.2016-07:00;0,5;6,9;150;7,6; ; 
50540;02.05.2016-08:00;0,4;6;156;7,8; ; 
50540;02.05.2016-09:00;0,4;7,6;157;8,5; ; 
50540;02.05.2016-10:00;1,5;7,5;159;9; ; 
50540;02.05.2016-11:00;0,5;8,5;147;8,9; ; 
50540;02.05.2016-12:00;0,7;8,1;150;9,2; ; 
50540;02.05.2016-13:00;1,4;9,4;154;9,3; ; 
50540;02.05.2016-14:00;0,1;10,3;162;9,5; ; 
50540;02.05.2016-15:00;0;6,7;156;9,1; ; 
50540;02.05.2016-16:00;0,9;7,3;160;8,6; ; 
50540;02.05.2016-17:00;0,4;5,6;146;8,8; ; 
50540;02.05.2016-18:00;0,3;5,3;154;8,8; ; 
50540;02.05.2016-19:00;1,4;5;145;8,4; ; 
50540;02.05.2016-20:00;0,7;4,6;149;8,3; ; 
50540;02.05.2016-21:00;1;4,9;148;8,3; ; 
50540;02.05.2016-22:00;1,2;4;159;8,1; ; 
50540;02.05.2016-23:00;2,2;3,9;166;8; ; 
50540;03.05.2016-00:00;1,4;4,4;161;8; ; 
50540;03.05.2016-01:00;0,7;3,6;154;7,8; ; 
50540;03.05.2016-02:00;0,4;3,2;169;7,8; ; 
50540;03.05.2016-03:00;0,7;2,2;143;7,7; ; 
50540;03.05.2016-04:00;0;3,6;149;7,5; ; 
50540;03.05.2016-05:00;0;3,5;165;7,8; ; 
50540;03.05.2016-06:00;0,5;2,5;218;7,9; ; 
50540;03.05.2016-07:00;5,8;4,9;132;7,4; ; 
50540;03.05.2016-08:00;1;3,9;163;7,5; ; 
50540;03.05.2016-09:00;0,3;3,1;144;7,4; ; 
50540;03.05.2016-10:00;0;3;180;8,5; ; 
50540;03.05.2016-11:00;0;3,1;196;9,6; ; 
50540;03.05.2016-12:00;0;2,8;195;9,8; ; 
50540;03.05.2016-13:00;0;6,2;161;10,3; ; 
50540;03.05.2016-14:00;0;5,5;173;10; ; 
50540;03.05.2016-15:00;0;6,2;163;9,5; ; 
50540;03.05.2016-16:00;0;7,2;165;8,9; ; 
50540;03.05.2016-17:00;0;6;168;8,6; ; 
50540;03.05.2016-18:00;0,2;3,3;162;7,7; ; 
50540;03.05.2016-19:00;0,2;5,5;165;7,7; ; 
50540;03.05.2016-20:00;0;5;170;7,8; ; 
50540;03.05.2016-21:00;0;4,4;168;7,8; ; 
50540;03.05.2016-22:00;0,3;2,7;158;7; ; 
50540;03.05.2016-23:00;0,1;5,5;158;7,4; ; 
50540;04.05.2016-00:00;0,1;5;170;7,6; ; 
50540;04.05.2016-01:00;0;4,6;170;7,5; ; 
50540;04.05.2016-02:00;0;3,7;170;7,4; ; 
50540;04.05.2016-03:00;0;5,2;166;7,3; ; 
50540;04.05.2016-04:00;0;3,2;161;7,2; ; 
50540;04.05.2016-05:00;0;3,3;156;7,2; ; 
50540;04.05.2016-06:00;0;3,2;156;7,4; ; 
50540;04.05.2016-07:00;0;4;148;7,9; ; 
