Telledata: Rådata;;;;Felt 1, 3; Fra Nyborg;;;;;
Utskriftsdato: 27. februar 2017;;;;Felt 2 og 4;Fra X Salhusveien;;;;;
Tellepunkt: 1204412 - ÅSAMYRANE;;;;;;;;;;
FV 564 Hp: 55 Km: 320;;;;;;;;;;
Date;Time;RoadLane;numOfVehicles;numOfVehiclesClass1;numOfVehiclesClass2;numOfVehiclesClass3;numOfVehiclesClass4;numOfVehiclesClass5;;
;;;;;;;;;;
27.06.2016;01:00;1;6;5;0;0;0;1;;
27.06.2016;01:00;2;3;2;0;1;0;0;;
27.06.2016;01:00;3;20;19;0;0;0;1;;
27.06.2016;01:00;4;22;15;1;0;2;4;;
27.06.2016;02:00;1;3;2;0;0;0;1;;
27.06.2016;02:00;2;3;3;0;0;0;0;;
27.06.2016;02:00;3;11;11;0;0;0;0;;
27.06.2016;02:00;4;16;16;0;0;0;0;;
27.06.2016;03:00;1;0;0;0;0;0;0;;
27.06.2016;03:00;2;1;1;0;0;0;0;;
27.06.2016;03:00;3;8;7;0;0;0;1;;
27.06.2016;03:00;4;5;4;1;0;0;0;;
27.06.2016;04:00;1;1;1;0;0;0;0;;
27.06.2016;04:00;2;2;2;0;0;0;0;;
27.06.2016;04:00;3;5;4;0;1;0;0;;
27.06.2016;04:00;4;5;2;1;1;0;1;;
27.06.2016;05:00;1;2;2;0;0;0;0;;
27.06.2016;05:00;2;3;3;0;0;0;0;;
27.06.2016;05:00;3;4;4;0;0;0;0;;
27.06.2016;05:00;4;12;7;2;2;0;1;;
27.06.2016;06:00;1;3;3;0;0;0;0;;
27.06.2016;06:00;2;3;2;0;0;1;0;;
27.06.2016;06:00;3;30;16;4;3;4;3;;
27.06.2016;06:00;4;36;30;2;3;1;0;;
27.06.2016;07:00;1;25;21;1;2;1;0;;
27.06.2016;07:00;2;21;21;0;0;0;0;;
27.06.2016;07:00;3;141;107;4;15;8;7;;
27.06.2016;07:00;4;206;177;10;9;6;4;;
27.06.2016;08:00;1;58;51;5;0;0;2;;
27.06.2016;08:00;2;33;31;2;0;0;0;;
27.06.2016;08:00;3;239;174;16;26;16;7;;
27.06.2016;08:00;4;288;233;13;28;9;5;;
27.06.2016;09:00;1;58;55;2;1;0;0;;
27.06.2016;09:00;2;36;29;4;3;0;0;;
27.06.2016;09:00;3;257;186;18;29;11;13;;
27.06.2016;09:00;4;253;203;15;24;6;5;;
27.06.2016;10:00;1;45;42;2;1;0;0;;
27.06.2016;10:00;2;34;25;7;2;0;0;;
27.06.2016;10:00;3;311;241;22;27;10;11;;
27.06.2016;10:00;4;291;214;19;37;5;16;;
27.06.2016;11:00;1;65;61;1;2;0;1;;
27.06.2016;11:00;2;66;57;4;5;0;0;;
27.06.2016;11:00;3;452;379;26;29;7;11;;
27.06.2016;11:00;4;349;287;19;27;7;9;;
27.06.2016;12:00;1;114;103;4;4;1;2;;
27.06.2016;12:00;2;75;65;3;7;0;0;;
27.06.2016;12:00;3;554;480;28;29;7;10;;
27.06.2016;12:00;4;539;462;30;26;6;15;;
27.06.2016;13:00;1;121;115;1;4;0;1;;
27.06.2016;13:00;2;97;88;5;4;0;0;;
27.06.2016;13:00;3;622;552;22;31;10;7;;
27.06.2016;13:00;4;546;484;16;28;7;11;;
27.06.2016;14:00;1;139;129;3;5;1;1;;
27.06.2016;14:00;2;115;103;9;3;0;0;;
27.06.2016;14:00;3;603;545;18;26;9;5;;
27.06.2016;14:00;4;586;517;17;37;7;8;;
27.06.2016;15:00;1;115;110;3;1;0;1;;
27.06.2016;15:00;2;104;97;2;4;1;0;;
27.06.2016;15:00;3;606;533;30;24;9;10;;
27.06.2016;15:00;4;686;630;15;25;8;8;;
27.06.2016;16:00;1;126;120;1;2;1;2;;
27.06.2016;16:00;2;124;115;4;5;0;0;;
27.06.2016;16:00;3;709;638;28;23;10;10;;
27.06.2016;16:00;4;746;683;23;18;9;13;;
27.06.2016;17:00;1;115;112;1;0;0;2;;
27.06.2016;17:00;2;130;123;5;2;0;0;;
27.06.2016;17:00;3;688;634;17;17;10;10;;
27.06.2016;17:00;4;652;593;15;17;13;14;;
27.06.2016;18:00;1;96;92;1;3;0;0;;
27.06.2016;18:00;2;81;76;1;3;0;1;;
27.06.2016;18:00;3;587;543;16;8;8;12;;
27.06.2016;18:00;4;574;528;14;11;12;9;;
27.06.2016;19:00;1;86;80;2;0;1;3;;
27.06.2016;19:00;2;92;86;5;1;0;0;;
27.06.2016;19:00;3;494;462;10;14;3;5;;
27.06.2016;19:00;4;527;497;5;7;4;14;;
27.06.2016;20:00;1;74;71;0;1;0;2;;
27.06.2016;20:00;2;71;66;4;1;0;0;;
27.06.2016;20:00;3;418;390;12;9;3;4;;
27.06.2016;20:00;4;439;409;9;9;4;8;;
27.06.2016;21:00;1;66;62;1;1;0;2;;
27.06.2016;21:00;2;59;58;0;1;0;0;;
27.06.2016;21:00;3;260;236;5;10;3;6;;
27.06.2016;21:00;4;371;343;6;12;4;6;;
27.06.2016;22:00;1;23;23;0;0;0;0;;
27.06.2016;22:00;2;24;24;0;0;0;0;;
27.06.2016;22:00;3;128;116;2;2;4;4;;
27.06.2016;22:00;4;230;217;1;3;3;6;;
27.06.2016;23:00;1;10;10;0;0;0;0;;
27.06.2016;23:00;2;7;6;1;0;0;0;;
27.06.2016;23:00;3;82;73;2;1;3;3;;
27.06.2016;23:00;4;100;92;1;1;3;3;;
27.06.2016;24:00;1;6;5;0;0;1;0;;
27.06.2016;24:00;2;4;4;0;0;0;0;;
27.06.2016;24:00;3;41;37;0;0;1;3;;
27.06.2016;24:00;4;68;59;1;2;3;3;;
28.06.2016;01:00;1;0;0;0;0;0;0;;
28.06.2016;01:00;2;4;4;0;0;0;0;;
28.06.2016;01:00;3;18;14;0;1;1;2;;
28.06.2016;01:00;4;27;18;0;0;3;6;;
28.06.2016;02:00;1;1;1;0;0;0;0;;
28.06.2016;02:00;2;0;0;0;0;0;0;;
28.06.2016;02:00;3;11;10;0;0;0;1;;
28.06.2016;02:00;4;17;13;0;0;0;4;;
28.06.2016;03:00;1;0;0;0;0;0;0;;
28.06.2016;03:00;2;3;3;0;0;0;0;;
28.06.2016;03:00;3;3;3;0;0;0;0;;
28.06.2016;03:00;4;6;5;1;0;0;0;;
28.06.2016;04:00;1;3;2;0;0;0;1;;
28.06.2016;04:00;2;2;1;1;0;0;0;;
28.06.2016;04:00;3;6;3;1;1;0;1;;
28.06.2016;04:00;4;11;5;2;2;0;2;;
28.06.2016;05:00;1;0;0;0;0;0;0;;
28.06.2016;05:00;2;3;3;0;0;0;0;;
28.06.2016;05:00;3;3;2;0;0;1;0;;
28.06.2016;05:00;4;12;8;0;1;0;3;;
28.06.2016;06:00;1;2;1;0;0;1;0;;
28.06.2016;06:00;2;2;2;0;0;0;0;;
28.06.2016;06:00;3;23;12;1;2;4;4;;
28.06.2016;06:00;4;43;35;1;4;2;1;;
28.06.2016;07:00;1;29;22;5;2;0;0;;
28.06.2016;07:00;2;21;20;1;0;0;0;;
28.06.2016;07:00;3;141;103;12;8;11;7;;
28.06.2016;07:00;4;199;162;15;8;9;5;;
28.06.2016;08:00;1;64;59;2;1;0;2;;
28.06.2016;08:00;2;27;25;2;0;0;0;;
28.06.2016;08:00;3;220;162;11;24;16;7;;
28.06.2016;08:00;4;284;230;13;25;9;7;;
28.06.2016;09:00;1;53;52;0;0;0;1;;
28.06.2016;09:00;2;17;11;2;4;0;0;;
28.06.2016;09:00;3;230;180;16;17;12;5;;
28.06.2016;09:00;4;272;216;14;23;8;11;;
28.06.2016;10:00;1;70;66;2;1;0;1;;
28.06.2016;10:00;2;30;29;0;1;0;0;;
28.06.2016;10:00;3;271;230;8;16;11;6;;
28.06.2016;10:00;4;266;222;14;16;5;9;;
28.06.2016;11:00;1;88;79;3;3;1;2;;
28.06.2016;11:00;2;68;63;2;2;0;1;;
28.06.2016;11:00;3;412;349;24;18;7;14;;
28.06.2016;11:00;4;349;295;15;27;6;6;;
28.06.2016;12:00;1;88;84;2;2;0;0;;
28.06.2016;12:00;2;100;90;4;6;0;0;;
28.06.2016;12:00;3;547;489;17;22;6;13;;
28.06.2016;12:00;4;455;401;15;21;5;13;;
28.06.2016;13:00;1;99;94;2;3;0;0;;
28.06.2016;13:00;2;70;63;3;4;0;0;;
28.06.2016;13:00;3;545;491;12;25;10;7;;
28.06.2016;13:00;4;550;481;19;30;6;14;;
28.06.2016;14:00;1;126;115;8;2;0;1;;
28.06.2016;14:00;2;91;84;1;5;0;1;;
28.06.2016;14:00;3;563;515;12;21;8;7;;
28.06.2016;14:00;4;558;504;13;26;7;8;;
28.06.2016;15:00;1;123;117;2;2;0;2;;
28.06.2016;15:00;2;85;82;2;1;0;0;;
28.06.2016;15:00;3;538;480;18;20;11;9;;
28.06.2016;15:00;4;633;563;24;28;6;12;;
28.06.2016;16:00;1;119;114;4;1;0;0;;
28.06.2016;16:00;2;123;113;4;6;0;0;;
28.06.2016;16:00;3;617;569;14;15;10;9;;
28.06.2016;16:00;4;654;610;13;12;10;9;;
28.06.2016;17:00;1;109;99;2;5;1;2;;
28.06.2016;17:00;2;113;109;2;2;0;0;;
28.06.2016;17:00;3;598;558;9;14;9;8;;
28.06.2016;17:00;4;583;537;13;15;10;8;;
28.06.2016;18:00;1;99;94;2;2;1;0;;
28.06.2016;18:00;2;111;103;0;6;1;1;;
28.06.2016;18:00;3;568;524;14;13;7;10;;
28.06.2016;18:00;4;549;498;10;19;10;12;;
28.06.2016;19:00;1;93;87;0;2;1;3;;
28.06.2016;19:00;2;99;91;5;2;0;1;;
28.06.2016;19:00;3;516;486;8;12;4;6;;
28.06.2016;19:00;4;477;443;3;12;7;12;;
28.06.2016;20:00;1;78;77;0;1;0;0;;
28.06.2016;20:00;2;83;82;0;1;0;0;;
28.06.2016;20:00;3;466;433;14;10;3;6;;
28.06.2016;20:00;4;486;448;12;15;4;7;;
28.06.2016;21:00;1;59;58;1;0;0;0;;
28.06.2016;21:00;2;76;74;1;1;0;0;;
28.06.2016;21:00;3;331;315;7;3;3;3;;
28.06.2016;21:00;4;383;366;4;6;3;4;;
28.06.2016;22:00;1;40;39;0;1;0;0;;
28.06.2016;22:00;2;40;39;1;0;0;0;;
28.06.2016;22:00;3;198;179;4;7;4;4;;
28.06.2016;22:00;4;278;261;2;4;3;8;;
28.06.2016;23:00;1;19;19;0;0;0;0;;
28.06.2016;23:00;2;12;12;0;0;0;0;;
28.06.2016;23:00;3;108;100;2;0;3;3;;
28.06.2016;23:00;4;119;109;3;1;3;3;;
28.06.2016;24:00;1;5;3;1;0;1;0;;
28.06.2016;24:00;2;5;5;0;0;0;0;;
